Rank,RO,ST,Locid,City,Airport Name,SL,Hub,CY 06 Boardings,CY 05 Boardings,% Change
68.0,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,1836260.0,1862017.0,-0.0138
69.0,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,1799977.0,1773522.0,0.0149
70.0,SW,TX,ELP,El Paso,El Paso International,P,S,1658102.0,1638242.0,0.0121
71.0,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,1656677.0,1581338.0,0.0476
72.0,EA,VA,RIC,Highland Springs,Richmond International,P,S,1644419.0,1452066.0,0.1325
73.0,NM,WA,GEG,Spokane,Spokane International,P,S,1605069.0,1583737.0,0.0135
74.0,SW,OK,TUL,Tulsa,Tulsa International,P,S,1599853.0,1563622.0,0.0232
75.0,SO,AL,BHM,Birmingham,Birmingham International,P,S,1551339.0,1595443.0,-0.0276
76.0,WP,HI,KOA,Kailua Kona,Kona International at Keahole,P,S,1450717.0,1355639.0,0.0701
77.0,EA,NY,ALB,Albany,Albany International,P,S,1443360.0,1533301.0,-0.0587
78.0,EA,NY,ROC,Rochester,Greater Rochester International,P,S,1417039.0,1450181.0,-0.0229
79.0,WP,GU,GUM,Agana,Guam International,P,S,1416354.0,1420751.0,-0.0031
80.0,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,1343151.0,1481659.0,-0.0935
81.0,WP,HI,LIH,Lihue,Lihue,P,S,1331432.0,1257848.0,0.0585
82.0,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,1303779.0,1220130.0,0.0686
83.0,SW,AR,LIT,Little Rock,Adams Field,P,S,1236223.0,1265098.0,-0.0228
84.0,EA,NY,ISP,Islip,Long Island MacArthur,P,S,1138061.0,1055832.0,0.0779
85.0,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,1128483.0,1222657.0,-0.077
86.0,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,1082846.0,1310034.0,-0.1734
87.0,GL,MI,GRR,Grand Rapids,Gerald R. Ford International,P,S,1005586.0,1041967.0,-0.0349
88.0,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,997763.0,1025481.0,-0.027
89.0,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,950904.0,1032676.0,-0.0792
90.0,CE,IA,DSM,Des Moines,Des Moines International,P,S,947393.0,922099.0,0.0274
91.0,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,944143.0,1072182.0,-0.1194
92.0,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,915135.0,789795.0,0.1587
93.0,SO,TN,TYS,Maryville,McGhee Tyson,P,S,815130.0,904004.0,-0.0983
94.0,SO,FL,PNS,Pensacola,Pensacola Regional,P,S,807069.0,815157.0,-0.0099
95.0,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,803503.0,804519.0,-0.0013
96.0,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,771867.0,715627.0,0.0786
97.0,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,756490.0,893397.0,-0.1532
98.0,SO,MS,JAN,Jackson,Jackson-Evers International,P,S,727658.0,722219.0,0.0075
99.0,SO,FL,SRQ,Sarasota/Bradenton,Sarasota/Bradenton International,P,S,712379.0,656007.0,0.0859
100.0,CE,KS,ICT,Wichita,Wichita Mid-Continent,P,S,710380.0,718457.0,-0.0112
101.0,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,710337.0,711540.0,-0.0017
102.0,NE,ME,PWM,Portland,Portland International Jetport,P,S,710142.0,734295.0,-0.0329
103.0,WP,HI,ITO,Hilo,Hilo International,P,S,695801.0,637753.0,0.091
104.0,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,692364.0,776051.0,-0.1078
105.0,NE,VT,BTV,Burlington,Burlington International,P,S,681678.0,690641.0,-0.013
106.0,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,633835.0,725573.0,-0.1264
107.0,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,623997.0,574012.0,0.0871
108.0,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,577559.0,647468.0,-0.108
109.0,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,574402.0,575507.0,-0.0019
110.0,SW,AR,XNA,Cave Springs,Northwest Arkansas Regional,P,S,567341.0,561045.0,0.0112
111.0,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,564799.0,552023.0,0.0231
112.0,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,561395.0,619499.0,-0.0938
113.0,GL,MI,FNT,Flint,Bishop International,P,S,532680.0,553468.0,-0.0376
114.0,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,S,526998.0,515991.0,0.0213
115.0,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,516095.0,501351.0,0.0294
116.0,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,S,513367.0,514361.0,-0.0019
117.0,EA,NY,HPN,White Plains,Westchester County,P,S,511559.0,462256.0,0.1067
118.0,SO,KY,LEX,Lexington,Blue Grass,P,S,504787.0,536000.0,-0.0582
119.0,SO,FL,TLH,Tallahassee,Tallahassee Regional,P,S,492826.0,573723.0,-0.141
120.0,WP,MP,GSN,Saipan,Francisco C. Ada/Saipan International,P,S,484077.0,555647.0,-0.1288
121.0,SW,TX,MAF,Midland,Midland International,P,S,473986.0,446161.0,0.0624
122.0,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,458058.0,467148.0,-0.0195
123.0,GL,IL,MLI,Moline,Quad City International,P,S,453554.0,430992.0,0.0523
124.0,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,S,446926.0,446395.0,0.0012
125.0,GL,WI,GRB,Green Bay,Austin Straubel International,P,S,443866.0,419308.0,0.0586
126.0,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,S,434753.0,431079.0,0.0085
127.0,SW,TX,HRL,Harlingen,Valley International,P,S,431365.0,429396.0,0.0046
128.0,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,S,429394.0,417022.0,0.0297
129.0,CE,MO,SGF,Springfield,Springfield-Branson National,P,S,428249.0,434362.0,-0.0141
130.0,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,424816.0,420597.0,0.01
131.0,NE,ME,BGR,Bangor,Bangor International,P,S,411352.0,433816.0,-0.0518
132.0,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,S,403771.0,393803.0,0.0253
133.0,NM,MT,BIL,Billings,Billings Logan International,P,S,403645.0,404427.0,-0.0019
134.0,EA,PA,ABE,Allentown,Lehigh Valley International,P,S,397603.0,419122.0,-0.0513
135.0,SW,TX,MFE,McAllen,McAllen Miller International,P,S,396157.0,352216.0,0.1248
136.0,AL,AK,JNU,Juneau,Juneau International,P,S,394929.0,393453.0,0.0038
137.0,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,S,388644.0,385920.0,0.0071
138.0,GL,IN,SBN,South Bend,South Bend Regional,P,S,378909.0,349847.0,0.0831
139.0,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,S,369760.0,356459.0,0.0373
,,,,Small Hubs,,,,59154317.0,,72.0
140.0,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,N,360877.0,359187.0,0.0047
141.0,SO,FL,VPS,Valparaiso,Eglin AFB,P,N,350484.0,388778.0,-0.0985
142.0,EA,VA,ROA,Roanoke,Roanoke Regional/Woodrum Field,P,N,326214.0,326202.0,0.0
143.0,NM,MT,BZN,Bozeman,Gallatin Field,P,N,318115.0,336516.0,-0.0547
144.0,SO,NC,ILM,Wilmington,Wilmington International,P,N,312600.0,339520.0,-0.0793
145.0,GL,ND,FAR,Fargo,Hector International,P,N,307947.0,285298.0,0.0794
146.0,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,306832.0,319960.0,-0.041
147.0,SO,AL,MOB,Mobile,Mobile Regional,P,N,296264.0,323209.0,-0.0834
148.0,SO,FL,EYW,Key West,Key West International,P,N,294047.0,314075.0,-0.0638
149.0,SO,NC,AVL,Asheville,Asheville Regional,P,N,289550.0,315624.0,-0.0826
150.0,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,N,289083.0,286905.0,0.0076
151.0,GL,MI,LAN,Lansing,Capital City,P,N,286358.0,314593.0,-0.0898
152.0,GL,WI,ATW,Appleton,Outagamie County Regional,P,N,285123.0,299179.0,-0.047
153.0,EA,WV,CRW,Charleston,Yeager,P,N,284159.0,317093.0,-0.1039
154.0,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,276866.0,252757.0,0.0954
155.0,NM,MT,MSO,Missoula,Missoula International,P,N,276170.0,271499.0,0.0172
156.0,NM,WY,JAC,Jackson,Jackson Hole,P,N,274031.0,247116.0,0.1089
157.0,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,268122.0,307682.0,-0.1286
158.0,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,262503.0,297565.0,-0.1178
159.0,GL,IL,BMI,Bloomington/Normal,Central IL Regional Airport at Bloomington-Normal,P,N,256708.0,227881.0,0.1265
160.0,SO,TN,CHA,Chattanooga,Lovell Field,P,N,246893.0,249396.0,-0.01
161.0,GL,IL,PIA,Peoria,Greater Peoria Regional,P,N,240469.0,255578.0,-0.0591
162.0,GL,IN,EVV,Evansville,Evansville Regional,P,N,234308.0,244352.0,-0.0411
163.0,NM,WA,PSC,Pasco,Tri-Cities,P,N,226975.0,240767.0,-0.0573
164.0,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,226323.0,244174.0,-0.0731
165.0,NM,CO,EGE,Eagle,Eagle County Regional,P,N,217039.0,213233.0,0.0178
166.0,EA,PA,AVP,Wilkes-Barre/Scranton,Wilkes-Barre/Scranton International,P,N,213233.0,221866.0,-0.0389
167.0,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,P,N,211177.0,244815.0,-0.1374
168.0,WP,NV,VGT,Las Vegas,North Las Vegas,P,N,209619.0,263553.0,-0.2046
169.0,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,209236.0,192887.0,0.0848
170.0,GL,MI,TVC,Traverse City,Cherry Capital,P,N,208520.0,219188.0,-0.0487
171.0,SW,LA,LFT,Lafayette,Lafayette Regional,P,N,207103.0,176448.0,0.1737
172.0,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,206980.0,177761.0,0.1644
173.0,NM,OR,RDM,Redmond,Roberts Field,P,N,205930.0,180637.0,0.14
174.0,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,205637.0,235948.0,-0.1285
175.0,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,201642.0,193961.0,0.0396
176.0,SO,FL,PIE,Clearwater,St Petersburg-Clearwater International,P,N,200972.0,298647.0,-0.3271
177.0,GL,MI,MBS,Saginaw,MBS International,P,N,200150.0,213669.0,-0.0633
178.0,WP,CA,MRY,Monterey,Monterey Peninsula,P,N,200091.0,193728.0,0.0328
179.0,GL,OH,TOL,Toledo,Toledo Express,P,N,194765.0,234335.0,-0.1689
180.0,CE,NE,LNK,Lincoln,Lincoln,P,N,190456.0,203586.0,-0.0645
181.0,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,188329.0,203557.0,-0.0748
182.0,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,186891.0,187461.0,-0.003
183.0,EA,VA,CHO,Charlottesville,Charlottesville-Albemarle,P,N,185891.0,198133.0,-0.0618
184.0,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,181032.0,174567.0,0.037
185.0,NM,MT,GPI,Kalispell,Glacier Park International,P,N,175157.0,192507.0,-0.0901
186.0,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,174869.0,174878.0,-0.0001
187.0,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,174400.0,122293.0,0.4261
188.0,SO,FL,PFN,Panama City,Panama City-Bay County International,P,N,173211.0,188318.0,-0.0802
189.0,WP,CA,BFL,Bakersfield,Meadows Field,P,N,171913.0,146607.0,0.1726
190.0,SO,FL,MLB,Melbourne,Melbourne International,P,N,162079.0,226207.0,-0.2835
191.0,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,161449.0,163557.0,-0.0129
192.0,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,161087.0,187997.0,-0.1431
193.0,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,159509.0,156815.0,0.0172
194.0,EA,NY,SWF,Newburgh,Stewart International,P,N,156638.0,199741.0,-0.2158
195.0,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,154966.0,153524.0,0.0094
196.0,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,153532.0,171036.0,-0.1023
197.0,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,152146.0,135058.0,0.1265
198.0,GL,MN,RST,Rochester,Rochester International,P,N,149600.0,142267.0,0.0515
199.0,GL,MN,DLH,Duluth,Duluth International,P,N,139480.0,146394.0,-0.0472
200.0,NM,MT,GTF,Great Falls,Great Falls International,P,N,139362.0,156859.0,-0.1115
201.0,AL,AK,BET,Bethel,Bethel,P,N,137521.0,143670.0,-0.0428
202.0,SW,LA,AEX,Alexandria,Alexandria International,P,N,137283.0,138494.0,-0.0087
203.0,NM,WA,BLI,Bellingham,Bellingham International,P,N,135129.0,101228.0,0.3349
204.0,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,134716.0,156170.0,-0.1374
205.0,EA,PA,UNV,State College,University Park,P,N,132543.0,143800.0,-0.0783
206.0,NM,CO,HDN,Hayden,Yampa Valley,P,N,131448.0,129755.0,0.013
207.0,GL,WI,LSE,La Crosse,La Crosse Municipal,P,N,118647.0,122068.0,-0.028
208.0,GL,IL,CMI,Champaign,University of Illinois-Willard,P,N,117129.0,132077.0,-0.1132
209.0,NM,CO,DRO,Durango,Durango-La Plata County,P,N,113516.0,101742.0,0.1157
210.0,SW,LA,MLU,Monroe,Monroe Regional,P,N,111119.0,112086.0,-0.0086
211.0,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,108102.0,110211.0,-0.0191
212.0,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,107314.0,122443.0,-0.1236
213.0,WP,CA,ACV,Arcata/Eureka,Arcata,P,N,103515.0,108698.0,-0.0477
214.0,SW,TX,LRD,Laredo,Laredo International,P,N,97331.0,92316.0,0.0543
215.0,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,93795.0,100546.0,-0.0671
216.0,AL,AK,ENA,Kenai,Kenai Municipal,P,N,93246.0,87924.0,0.0605
217.0,SW,TX,ABI,Abilene,Abilene Regional,P,N,90918.0,78269.0,0.1616
218.0,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,90580.0,76573.0,0.1829
219.0,SO,PR,PSE,Ponce,Mercedita,P,N,89908.0,30996.0,1.9006
220.0,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,89842.0,82282.0,0.0919
221.0,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,89316.0,88102.0,0.0138
222.0,NM,MT,HLN,Helena,Helena Regional,P,N,87958.0,93204.0,-0.0563
223.0,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,87512.0,92327.0,-0.0522
224.0,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,86353.0,88065.0,-0.0194
225.0,SW,TX,CLL,College Station,Easterwood Field,P,N,85754.0,87484.0,-0.0198
226.0,SO,NC,EWN,New Bern,Craven County Regional,P,N,85015.0,93768.0,-0.0933
227.0,EA,NY,ELM,Elmira/Corning,Elmira/Corning Regional,P,N,83328.0,86925.0,-0.0414
228.0,NM,CO,MTJ,Montrose,Montrose Regional,P,N,82316.0,78669.0,0.0464
229.0,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,79076.0,85997.0,-0.0805
230.0,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,78918.0,73882.0,0.0682
231.0,NM,WY,CPR,Casper,Natrona County International,P,N,78665.0,88731.0,-0.1134
232.0,AL,AK,ADQ,Kodiak,Kodiak,P,N,77343.0,78128.0,-0.01
233.0,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,77221.0,79953.0,-0.0342
234.0,WP,HI,MKK,Kaunakakai,Molokai,P,N,76728.0,65240.0,0.1761
235.0,GL,ND,MOT,Minot,Minot International,P,N,75013.0,76467.0,-0.019
236.0,SW,TX,ACT,Waco,Waco Regional,P,N,74235.0,71684.0,0.0356
237.0,NM,ID,SUN,Hailey,Friedman Memorial,P,N,70057.0,69892.0,0.0024
238.0,GL,MI,SAW,Gwinn,Sawyer International,P,N,68625.0,62951.0,0.0901
239.0,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,68236.0,65705.0,0.0385
240.0,WP,AZ,YUM,Yuma,Yuma MCAS/Yuma International,P,N,67684.0,65824.0,0.0283
241.0,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,66731.0,25945.0,1.572
242.0,WP,CA,RDD,Redding,Redding Municipal,P,N,66695.0,62509.0,0.067
243.0,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,66357.0,66444.0,-0.0013
244.0,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,65187.0,82218.0,-0.2071
245.0,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,63417.0,58140.0,0.0908
246.0,AL,AK,OME,Nome,Nome,P,N,63017.0,60357.0,0.0441
247.0,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,62256.0,64564.0,-0.0357
248.0,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,62115.0,67282.0,-0.0768
249.0,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,60737.0,65895.0,-0.0783
252.0,SO,AL,DHN,Dothan,Dothan Regional,P,N,57552.0,68330.0,-0.1577
253.0,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,57209.0,58094.0,-0.0152
255.0,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,56120.0,46399.0,0.2095
256.0,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,55841.0,56705.0,-0.0152
257.0,NM,UT,SGU,St. George,St George Municipal,P,N,53993.0,49667.0,0.0871
258.0,WP,NV,61B,Boulder City,Boulder City Municipal,P,N,52734.0,4617.0,10.4217
259.0,WP,HI,LNY,Lanai City,Lanai,P,N,50896.0,45890.0,0.1091
260.0,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,50872.0,38128.0,0.3342
261.0,WP,CA,CRQ,Carlsbad,McClellan-Palomar,P,N,50157.0,48927.0,0.0251
262.0,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,49734.0,50968.0,-0.0242
263.0,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,48073.0,44865.0,0.0715
264.0,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,46973.0,40777.0,0.1519
265.0,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,46526.0,48490.0,-0.0405
266.0,NE,MA,MVY,Vineyard Haven,Marthas Vineyard,P,N,45881.0,48977.0,-0.0632
267.0,NM,UT,ENV,Wendover,Wendover,P,N,45519.0,23620.0,0.9271
268.0,SO,SC,FLO,Florence,Florence Regional,P,N,45331.0,54142.0,-0.1627
269.0,SO,GA,CSG,Columbus,Columbus Metropolitan,P,N,44872.0,50889.0,-0.1182
270.0,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,44611.0,48784.0,-0.0855
271.0,AL,AK,DLG,Dillingham,Dillingham,P,N,43420.0,42979.0,0.0103
272.0,WP,MP,GRO,Rota Island,Rota International,P,N,42033.0,39747.0,0.0575
273.0,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,P,N,41714.0,43076.0,-0.0316
274.0,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,40948.0,40189.0,0.0189
275.0,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,40310.0,39022.0,0.033
276.0,AL,AK,HOM,Homer,Homer,P,N,40213.0,38485.0,0.0449
277.0,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,39829.0,42200.0,-0.0562
278.0,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,39183.0,36740.0,0.0665
279.0,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,39153.0,44405.0,-0.1183
