Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub,CY 12 Enplanements,CY 11 Enplanements,% Change
25,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,9462231,9053004,0.0452
26,GL,IL,MDW,Chicago,Chicago Midway International,P,L,9436387,9134576,0.033
27,WP,HI,HNL,Honolulu,Honolulu International,P,L,9225848,8689699,0.0617
28,WP,CA,SAN,San Diego,San Diego International,P,L,8686621,8465683,0.0261
29,SO,FL,TPA,Tampa,Tampa International,P,L,8218487,8174194,0.0054
,,,29,Large Hubs,,, ,,,
30,NM,OR,PDX,Portland,Portland International,P,M,7142620,6808486,0.0491
31,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,6208750,6159090,0.0081
32,SW,TX,HOU,Houston,William P Hobby,P,M,5043737,4753554,0.061
33,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,4926683,4550526,0.0827
34,CE,MO,MCI,Kansas City,Kansas City International,P,M,4866850,5011000,-0.0288
35,SO,TN,BNA,Nashville,Nashville International,P,M,4797102,4673047,0.0265
36,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,4606252,4436661,0.0382
37,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,4490374,4462508,0.0062
38,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,4381172,4247802,0.0314
39,WP,CA,SMF,Sacramento,Sacramento International,P,M,4357899,4370895,-0.003
40,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,4346941,4401033,-0.0123
41,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,4293624,4255411,0.009
42,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,4204478,3983130,0.0556
43,WP,CA,SJC,San Jose,Norman Y. Mineta San Jose International,P,M,4077654,4108006,-0.0074
44,SW,TX,SAT,San Antonio,San Antonio International,P,M,4036625,3992304,0.0111
45,SW,TX,DAL,Dallas,Dallas Love Field,P,M,3902628,3852886,0.0129
46,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,3892338,4070614,-0.0438
47,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,3710384,4671976,-0.2058
48,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,3634152,3748366,-0.0305
49,GL,IN,IND,Indianapolis,Indianapolis International,P,M,3586422,3670396,-0.0229
50,SO,TN,MEM,Memphis,Memphis International,P,M,3359668,4344213,-0.2266
51,GL,OH,CMH,Columbus,Port Columbus International,P,M,3095575,3134379,-0.0124
52,SO,KY,CVG,Greater Cincinnati ,Cincinnati/Northern Kentucky International,P,M,2937850,3422466,-0.1416
53,WP,HI,OGG,Kahului,Kahului,P,M,2861278,2683933,0.0661
54,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,2796359,2877158,-0.0281
55,NE,CT,BDL,Windsor Locks,Bradley International,P,M,2647610,2772315,-0.045
56,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2630574,2768435,-0.0498
57,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,2592630,2582597,0.0039
58,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,2579023,2700514,-0.045
59,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2249717,2354987,-0.0447
60,WP,CA,ONT,Ontario,Ontario International,P,M,2142393,2271458,-0.0568
61,WP,CA,BUR,Burbank,Bob Hope,P,M,2027203,2144915,-0.0549
62,CE,NE,OMA,Omaha,Eppley Airfield,P,M,2018738,2047055,-0.0138
,,,33,Medium Hubs,,, ,,,
63,NE,RI,PVD,Warwick,Theodore Francis Green State,P,S,1809322,1920699,-0.058
64,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,1801650,1738438,0.0364
65,WP,AZ,TUS,Tucson,Tucson International,P,S,1710649,1779679,-0.0388
66,WP,NV,RNO,Reno,Reno/Tahoe International,P,S,1685333,1821051,-0.0745
67,EA,VA,ORF,Norfolk,Norfolk International,P,S,1651440,1606695,0.0278
68,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,1642790,1650707,-0.0048
69,EA,VA,RIC,Highland Springs,Richmond International,P,S,1582565,1571155,0.0073
70,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,1554846,1512212,0.0282
71,WP,GU,GUM,Tamuning,Guam International,P,S,1477926,1369586,0.0791
72,NM,WA,GEG,Spokane,Spokane International,P,S,1456279,1487913,-0.0213
73,SW,TX,ELP,El Paso,El Paso International,P,S,1442102,1458965,-0.0116
74,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,1412483,1429282,-0.0118
75,WP,HI,KOA,Kailua Kona,Kona International at Keahole,P,S,1367091,1295389,0.0554
76,SW,OK,TUL,Tulsa,Tulsa International,P,S,1324202,1346122,-0.0163
77,WP,HI,LIH,Lihue,Lihue,P,S,1308549,1203525,0.0873
78,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,1307505,1395554,-0.0631
79,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,1289758,1247333,0.034
80,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,1283970,1247459,0.0293
81,EA,NY,ALB,Albany,Albany International,P,S,1222354,1216626,0.0047
82,NE,NH,MHT,Manchester,Manchester,P,S,1210189,1342308,-0.0984
83,EA,NY,ROC,Rochester,Greater Rochester International,P,S,1202903,1190967,0.01
84,SW,AR,LIT,Little Rock,Bill and Hillary Clinton National/Adams Field,P,S,1111442,1063673,0.0449
85,GL,MI,GRR,Grand Rapids,Gerald R. Ford International,P,S,1063153,1126552,-0.0563
86,CE,IA,DSM,Des Moines,Des Moines International,P,S,1018188,932828,0.0915
87,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,974293,982709,-0.0086
88,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,936288,880994,0.0628
89,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,910712,814243,0.1185
90,EA,NY,HPN,White Plains,Westchester County,P,S,893184,972385,-0.0815
91,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,889135,894290,-0.0058
92,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,873069,768938,0.1354
93,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,867720,759510,0.1425
94,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,846278,841237,0.006
95,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,836998,828516,0.0102
96,NE,ME,PWM,Portland,Portland International Jetport,P,S,799136,833005,-0.0407
97,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,799053,741365,0.0778
98,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,789663,785251,0.0056
99,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,S,744685,521437,0.4281
100,SO,FL,PNS,Pensacola,Pensacola Gulf Coast Regional,P,S,740852,750190,-0.0124
101,CE,KS,ICT,Wichita,Wichita Mid-Continent,P,S,735270,740675,-0.0073
102,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,722775,848230,-0.1479
103,EA,NY,ISP,Islip,Long Island MacArthur,P,S,667603,781396,-0.1456
104,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,663142,668930,-0.0087
105,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,657074,655294,0.0027
106,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,649691,596832,0.0886
107,WP,HI,ITO,Hilo,Hilo International,P,S,641904,605251,0.0606
108,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,640350,615320,0.0407
109,SO,FL,SRQ,Sarasota,Sarasota/Bradenton International,P,S,637264,657157,-0.0303
110,NE,VT,BTV,Burlington,Burlington International,P,S,615026,636019,-0.033
111,SO,MS,JAN,Jackson,Jackson-Medgar Wiley Evers International,P,S,611592,615622,-0.0065
112,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,578993,614601,-0.0579
113,NM,WA,BLI,Bellingham,Bellingham International,P,S,577028,515402,0.1196
114,SW,AR,XNA,Bentonville,Northwest Arkansas Regional,P,S,546845,538850,0.0148
115,SO,KY,LEX,Lexington,Blue Grass,P,S,535541,533952,0.003
116,SW,TX,MAF,Midland,Midland International,P,S,497193,474423,0.048
117,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,491806,431874,0.1388
118,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,487435,487474,-0.0001
119,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,475767,503580,-0.0552
120,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,S,453007,423288,0.0702
121,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,450436,438188,0.028
122,NM,MT,BIL,Billings,Billings Logan International,P,S,440277,407375,0.0808
123,SO,FL,PIE,Clearwater,St Petersburg-Clearwater International,P,S,436030,417223,0.0451
124,NM,MT,BZN,Bozeman,Bozeman Yellowstone International,P,S,434038,397870,0.0909
125,SO,FL,ECP,Panama City,Northwest Florida Beaches International,P,S,422750,417902,0.0116
126,GL,MI,FNT,Flint,Bishop International,P,S,412326,473113,-0.1285
127,WP,MP,GSN,Saipan,Francisco C. Ada/Saipan International,P,S,411735,382386,0.0768
128,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,S,407124,393504,0.0346
129,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,S,406318,396403,0.025
130,GL,IL,MLI,Moline,Quad City International,P,S,396460,412470,-0.0388
131,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,S,394110,395350,-0.0031
132,SO,NC,ILM,Wilmington,Wilmington International,P,S,392155,395156,-0.0076
133,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,S,389284,392815,-0.009
134,SW,TX,HRL,Harlingen,Valley International,P,S,375472,359166,0.0454
135,SO,FL,VPS,Valparaiso,Eglin AFB,P,S,373542,434455,-0.1402
136,SO,FL,EYW,Key West,Key West International,P,S,370637,335603,0.1044
137,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,S,370600,367328,0.0089
138,GL,ND,FAR,Fargo,Hector International,P,S,369969,346459,0.0679
,,,76,Small Hubs,,, ,,,
139,CE,MO,SGF,Springfield,Springfield-Branson National,P,N,364689,349091,0.0447
140,AL,AK,JNU,Juneau,Juneau International,P,N,353048,355499,-0.0069
141,EA,PA,ABE,Allentown,Lehigh Valley International,P,N,350066,428332,-0.1827
142,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,N,336716,331924,0.0144
143,SO,FL,TLH,Tallahassee,Tallahassee Regional,P,N,331296,305686,0.0838
144,NM,WA,PSC,Pasco,Tri-Cities,P,N,329833,327008,0.0086
145,SW,TX,MFE,McAllen,McAllen Miller International,P,N,327615,332706,-0.0153
146,SO,NC,AVL,Asheville,Asheville Regional,P,N,318395,361617,-0.1195
147,EA,VA,ROA,Roanoke,Roanoke Regional/Woodrum Field,P,N,315877,320961,-0.0158
148,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,N,314139,516789,-0.3921
149,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,N,313969,322903,-0.0277
150,SO,TN,CHA,Chattanooga,Lovell Field,P,N,313861,304399,0.0311
151,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,N,313638,301742,0.0394
152,NM,MT,MSO,Missoula,Missoula International,P,N,303886,292501,0.0389
153,NE,ME,BGR,Bangor,Bangor International,P,N,302610,391597,-0.2272
154,GL,IN,SBN,South Bend,South Bend,P,N,299592,305386,-0.019
155,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,290144,274166,0.0583
156,GL,IL,PIA,Peoria,General Downing - Peoria International,P,N,286507,249898,0.1465
157,GL,WI,GRB,Green Bay,Austin Straubel International,P,N,282973,352157,-0.1965
158,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,280732,272796,0.0291
159,SO,AL,MOB,Mobile,Mobile Regional,P,N,277432,288461,-0.0382
160,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,276460,265104,0.0428
161,NM,WY,JAC,Jackson,Jackson Hole,P,N,274343,279065,-0.0169
162,EA,WV,CRW,Charleston,Yeager,P,N,272901,282704,-0.0347
163,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,271740,267631,0.0154
164,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,255406,259445,-0.0156
165,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,252592,254292,-0.0067
166,GL,IL,BMI,Bloomington-Normal ,Central IL Regional Airport at Bloomington-Normal,P,N,240181,284852,-0.1568
167,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,239018,197181,0.2122
168,EA,VA,CHO,Charlottesville-Albemarle ,Charlottesville-Albemarle Airport,P,N,230097,216957,0.0606
169,NM,OR,RDM,Redmond,Roberts Field,P,N,229736,230395,-0.0029
170,GL,WI,ATW,Appleton,Outagamie County Regional,P,N,229248,242346,-0.054
171,SW,LA,LFT,Lafayette,Lafayette Regional,P,N,226504,222795,0.0166
172,GL,ND,MOT,Minot,Minot International,P,N,222188,151424,0.4673
173,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,222060,228367,-0.0276
174,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,217369,217988,-0.0028
175,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,215448,230556,-0.0655
176,SO,FL,MLB,Melbourne,Melbourne International,P,N,215300,207829,0.0359
177,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,214892,221256,-0.0288
178,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,P,N,206904,220586,-0.062
179,GL,MI,LAN,Clinton (Township of),Capital Region International,P,N,200836,186341,0.0778
180,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,200727,184331,0.0889
181,WP,NV,BVU,Boulder City,Boulder City Municipal,P,N,200400,190716,0.0508
182,WP,CA,MRY,Monterey,Monterey Regional,P,N,196268,181640,0.0805
183,NM,MT,GPI,Kalispell,Glacier Park International,P,N,192439,179064,0.0747
184,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,190461,177282,0.0743
185,SW,LA,AEX,Alexandria,Alexandria International,P,N,189476,188286,0.0063
186,NM,MT,GTF,Great Falls,Great Falls International,P,N,186790,168158,0.1108
187,NM,CO,DRO,Durango,Durango-La Plata County,P,N,186567,175649,0.0622
188,EA,NY,SWF,Newburgh,Stewart International,P,N,185389,209966,-0.1171
189,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,183501,219753,-0.165
190,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,182313,188177,-0.0312
191,GL,MI,TVC,Traverse City,Cherry Capital,P,N,179879,170977,0.0521
192,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,179128,169352,0.0577
193,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,174358,170118,0.0249
194,NM,CO,EGE,Eagle,Eagle County Regional,P,N,167914,189276,-0.1129
195,GL,IN,EVV,Evansville,Evansville Regional,P,N,164767,169426,-0.0275
196,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,160456,149315,0.0746
197,GL,MN,DLH,Duluth,Duluth International,P,N,158569,146620,0.0815
198,WP,CA,BFL,Bakersfield,Meadows Field,P,N,152456,148347,0.0277
199,AL,AK,BET,Bethel,Bethel,P,N,148168,152366,-0.0276
200,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,147794,71316,1.0724
201,EA,NY,ELM,Elmira,Elmira/Corning Regional,P,N,145243,152582,-0.0481
202,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,137953,118872,0.1605
203,EA,PA,UNV,State College,University Park,P,N,137599,144054,-0.0448
204,CE,NE,LNK,Lincoln,Lincoln,P,N,135085,135647,-0.0041
205,GL,MI,MBS,Saginaw,MBS International,P,N,134801,136594,-0.0131
206,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,127517,148634,-0.1421
207,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,127336,132692,-0.0404
208,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,125873,124085,0.0144
209,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,120449,135965,-0.1141
210,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,119608,121733,-0.0175
211,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,112493,139698,-0.1947
212,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,110799,113280,-0.0219
214,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,109185,112749,-0.0316
215,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,106412,102559,0.0376
216,WP,CA,STS,Santa Rosa,Charles M. Schulz - Sonoma County,P,N,105728,102414,0.0324
217,EA,WV,HTS,Huntington,Tri-State/Milton J. Ferguson Field,P,N,105548,112522,-0.062
218,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,105494,108172,-0.0248
219,GL,MN,RST,Rochester,Rochester International,P,N,105371,110295,-0.0446
220,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,103136,102086,0.0103
221,SW,TX,LRD,Laredo,Laredo International,P,N,102247,101780,0.0046
222,SW,LA,MLU,Monroe,Monroe Regional,P,N,101034,107290,-0.0583
223,NM,CO,HDN,Hayden,Yampa Valley,P,N,99969,106534,-0.0616
224,AL,AK,ENA,Kenai,Kenai Municipal,P,N,99955,90806,0.1008
225,SO,FL,PGD,Punta Gorda,Punta Gorda,P,N,99897,147698,-0.3236
226,GL,WI,LSE,La Crosse,La Crosse Municipal,P,N,97321,102958,-0.0548
227,SO,PR,PSE,Ponce,Mercedita,P,N,95787,95658,0.0013
228,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,95717,100596,-0.0485
229,NM,MT,HLN,Helena,Helena Regional,P,N,95374,100695,-0.0528
230,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,88571,98982,-0.1052
231,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,88013,77758,0.1319
232,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,86408,83731,0.032
233,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,86090,85244,0.0099
234,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,84751,84136,0.0073
235,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,81377,82420,-0.0127
236,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,79889,73821,0.0822
237,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,79531,36971,1.1512
238,GL,OH,TOL,Toledo,Toledo Express,P,N,78757,81127,-0.0292
239,AL,AK,ADQ,Kodiak,Kodiak,P,N,78749,81149,-0.0296
240,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,76372,72568,0.0524
241,NM,CO,MTJ,Montrose,Montrose Regional,P,N,75296,87228,-0.1368
242,SW,TX,ABI,Abilene,Abilene Regional,P,N,74523,80434,-0.0735
243,SO,GA,CSG,Columbus,Columbus,P,N,74336,78718,-0.0557
244,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,73841,72602,0.0171
245,WP,HI,MKK,Kaunakakai,Molokai,P,N,72421,82136,-0.1183
246,SW,TX,CLL,College Station,Easterwood Field,P,N,70551,71555,-0.014
247,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,69038,58672,0.1767
248,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,68222,65193,0.0465
249,SO,SC,FLO,Florence,Florence Regional,P,N,67745,68169,-0.0062
250,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,65756,71862,-0.085
251,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,63149,56044,0.1268
252,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,63032,62738,0.0047
253,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,62472,60831,0.027
254,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,62197,62845,-0.0103
255,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,61987,62071,-0.0014
256,WP,CA,ACV,Arcata,Arcata,P,N,61705,70455,-0.1242
257,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,60372,61006,-0.0104
258,SW,TX,ACT,Waco,Waco Regional,P,N,59836,61164,-0.0217
259,AL,AK,OME,Nome,Nome,P,N,59807,58892,0.0155
261,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,57673,55902,0.0317
262,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,56815,61325,-0.0735
263,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,56301,54955,0.0245
264,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,56266,55647,0.0111
265,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,56138,47167,0.1902
266,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,55678,63909,-0.1288
267,NM,UT,SGU,St. George,St George Municipal,P,N,53977,48582,0.111
268,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,51347,50927,0.0082
269,NE,MA,MVY,Vineyard Haven,Marthas Vineyard,P,N,50484,49095,0.0283
270,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,49213,45486,0.0819
271,WP,CA,CRQ,Carlsbad,McClellan-Palomar,P,N,48474,45518,0.0649
273,SW,NM,SAF,Santa Fe,Santa Fe Municipal,P,N,47847,43329,0.1043
274,NM,ID,SUN,Hailey,Friedman Memorial,P,N,47734,50885,-0.0619
275,SO,AL,DHN,Dothan,Dothan Regional,P,N,46452,46388,0.0014
276,WP,HI,LNY,Lanai City,Lanai,P,N,45692,43596,0.0481
278,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,44737,41620,0.0749
280,AL,AK,SCC,Deadhorse,Deadhorse,P,N,43837,37711,0.1624
281,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,43673,41083,0.063
284,CE,MO,COU,Columbia,Columbia Regional,P,N,41573,40990,0.0142
286,GL,ND,ISN,Williston,Sloulin Field International,P,N,40667,28202,0.442
287,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,P,N,40102,37048,0.0824
288,AL,AK,DLG,Dillingham,Dillingham,P,N,39877,30406,0.3115
289,AL,AK,HOM,Homer,Homer,P,N,39167,35863,0.0921
290,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,38856,35860,0.0835
291,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,38836,37248,0.0426
292,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,38547,39134,-0.015
293,GL,MI,SAW,Gwinn,Sawyer International,P,N,38302,52326,-0.268
294,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,37030,38066,-0.0272
295,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,36975,40074,-0.0773
297,AL,AK,AKN,King Salmon,King Salmon,P,N,35803,40345,-0.1126
298,NM,CO,FNL,Loveland,Fort Collins-Loveland Municipal,P,N,34817,44999,-0.2263
299,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,34652,37262,-0.07
300,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,33494,33627,-0.004
301,WP,NV,EKO,Elko,Elko Regional,P,N,33310,23543,0.4149
302,NM,WY,GCC,Gillette,Gillette-Campbell County,P,N,32714,32846,-0.004
303,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,32389,36148,-0.104
304,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,31832,32139,-0.0096
305,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,31284,31655,-0.0117
306,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,31181,36516,-0.1461
307,SO,KY,OWB,Owensboro,Owensboro-Daviess County,P,N,30795,17296,0.7805
308,AL,AK,DUT,Unalaska,Unalaska,P,N,30735,30048,0.0229
309,NM,UT,PVU,Provo,Provo Municipal,P,N,29755,14858,1.0026
310,WP,CA,RDD,Redding,Redding Municipal,P,N,29175,38290,-0.2381
311,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,28673,28165,0.018
312,NM,WY,COD,Cody,Yellowstone Regional,P,N,28551,28019,0.019
313,NM,WY,RKS,Rock Springs,Rock Springs-Sweetwater County,P,N,28270,26219,0.0782
314,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,28080,28698,-0.0215
315,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,P,N,27495,26201,0.0494
316,CE,IA,SUX,Sioux City,Sioux Gateway/Col. Bud Day Field,P,N,27168,28137,-0.0344
318,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,26059,38533,-0.3237
319,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,25974,24508,0.0598
320,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,25545,23024,0.1095
321,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,24864,22708,0.0949
322,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,24822,24503,0.013
323,CE,MO,JLN,Joplin,Joplin Regional,P,N,24489,27379,-0.1056
