Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub,CY 11 Enplanements,CY 10 Enplanements,% Change
225,NM,MT,HLN,Helena,Helena Regional,P,N,100695,98193,0.0255
226,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,100596,124560,-0.1924
227,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,98982,23849,3.1504
228,SO,PR,PSE,Ponce,Mercedita,P,N,95658,97660,-0.0205
229,AL,AK,ENA,Kenai,Kenai Municipal,P,N,90806,86857,0.0455
230,NM,CO,MTJ,Montrose,Montrose Regional,P,N,87228,96601,-0.097
231,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,85244,84401,0.01
232,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,84136,83902,0.0028
233,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,83731,85715,-0.0231
234,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,82420,82163,0.0031
235,WP,HI,MKK,Kaunakakai,Molokai,P,N,82136,88688,-0.0739
236,AL,AK,ADQ,Kodiak,Kodiak,P,N,81149,80303,0.0105
237,GL,OH,TOL,Toledo,Toledo Express,P,N,81127,88578,-0.0841
238,SW,TX,ABI,Abilene,Abilene Regional,P,N,80434,73605,0.0928
239,SO,GA,CSG,Columbus,Columbus Metropolitan,P,N,78718,63726,0.2353
240,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,77758,83342,-0.067
241,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,73821,93772,-0.2128
242,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,72602,74357,-0.0236
243,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,72568,65489,0.1081
244,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,71862,61413,0.1701
245,SW,TX,CLL,College Station,Easterwood Field,P,N,71555,72188,-0.0088
246,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,71316,60682,0.1752
247,WP,CA,ACV,Arcata,Arcata,P,N,70455,93402,-0.2457
248,SO,SC,FLO,Florence,Florence Regional,P,N,68169,82961,-0.1783
249,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,65193,64536,0.0102
250,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,63909,68054,-0.0609
251,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,62845,61737,0.0179
252,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,62738,62177,0.009
253,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,62071,61899,0.0028
254,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,61325,65340,-0.0614
255,SW,TX,ACT,Waco,Waco Regional,P,N,61164,61401,-0.0039
256,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,61006,73776,-0.1731
257,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,60831,62109,-0.0206
258,AL,AK,OME,Nome,Nome,P,N,58892,56658,0.0394
259,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,58672,44603,0.3154
261,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,56044,50632,0.1069
262,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,55902,53832,0.0385
263,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,55647,46267,0.2027
265,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,54955,56021,-0.019
267,GL,MI,SAW,Gwinn,Sawyer International,P,N,52326,57371,-0.0879
268,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,50927,46837,0.0873
269,NM,ID,SUN,Hailey,Friedman Memorial,P,N,50885,52755,-0.0354
270,NE,MA,MVY,Vineyard Haven,Marthas Vineyard,P,N,49095,43904,0.1182
271,NM,UT,SGU,St. George,St George Municipal,P,N,48582,37596,0.2922
272,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,47167,37101,0.2713
273,SO,AL,DHN,Dothan,Dothan Regional,P,N,46388,41453,0.1191
274,WP,CA,CRQ,Carlsbad,McClellan-Palomar,P,N,45518,28355,0.6053
275,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,45486,45206,0.0062
277,NM,CO,FNL,Fort Collins/Loveland,Fort Collins-Loveland Municipal,P,N,44999,35671,0.2615
281,WP,HI,LNY,Lanai City,Lanai,P,N,43596,43922,-0.0074
282,SW,NM,SAF,Santa Fe,Santa Fe Municipal,P,N,43329,43807,-0.0109
283,SO,MS,UTA,Tunica,Tunica Municipal,P,N,41670,65907,-0.3677
284,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,41620,47741,-0.1282
285,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,41083,40141,0.0235
286,CE,MO,COU,Columbia,Columbia Regional,P,N,40990,38293,0.0704
287,AL,AK,AKN,King Salmon,King Salmon,P,N,40345,41514,-0.0282
288,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,40074,35854,0.1177
289,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,39134,35248,0.1102
290,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,38533,35576,0.0831
291,WP,CA,RDD,Redding,Redding Municipal,P,N,38290,54420,-0.2964
293,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,38066,42537,-0.1051
294,AL,AK,SCC,Deadhorse,Deadhorse,P,N,37711,37319,0.0105
295,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,37262,38850,-0.0409
296,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,37248,44296,-0.1591
297,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,P,N,37048,27717,0.3367
298,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,36971,6978,4.2982
299,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,36516,37316,-0.0214
301,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,36148,33861,0.0675
303,AL,AK,HOM,Homer,Homer,P,N,35863,38407,-0.0662
304,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,35860,36329,-0.0129
305,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,34434,33656,0.0231
306,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,33627,35494,-0.0526
307,NM,WY,GCC,Gillette,Gillette-Campbell County,P,N,32846,29230,0.1237
308,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,32139,29064,0.1058
309,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,31655,30059,0.0531
310,AL,AK,DLG,Dillingham,Dillingham,P,N,30406,42927,-0.2917
311,AL,AK,DUT,Unalaska,Unalaska,P,N,30048,26711,0.1249
313,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,28698,26690,0.0752
314,GL,ND,ISN,Williston,Sloulin Field International,P,N,28202,16473,0.712
315,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,28165,11308,1.4907
316,CE,IA,SUX,Sioux City,Sioux Gateway/Col. Bud Day Field,P,N,28137,24701,0.1391
317,NM,WY,COD,Cody,Yellowstone Regional,P,N,28019,28454,-0.0153
318,CE,MO,JLN,Joplin,Joplin Regional,P,N,27379,4078,5.7138
319,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,P,N,26764,25137,0.0647
320,NM,WY,RKS,Rock Springs,Rock Springs-Sweetwater County,P,N,26219,20993,0.2489
321,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,P,N,26201,19814,0.3223
323,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,P,N,25112,19507,0.2873
324,NM,MT,BTM,Butte,Bert Mooney,P,N,24806,25433,-0.0247
325,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,24508,22519,0.0883
326,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,24503,20089,0.2197
327,WP,AZ,PGA,Page,Page Municipal,P,N,23938,20264,0.1813
328,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,23910,21498,0.1122
329,WP,NV,EKO,Elko,Elko Regional,P,N,23543,21863,0.0768
330,AL,AK,LHD,Anchorage,Lake Hood,P,N,23497,19789,0.1874
332,AL,AK,MRI,Anchorage,Merrill Field,P,N,23344,14972,0.5592
333,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,23024,21186,0.0868
334,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,22708,23324,-0.0264
335,NM,CO,PUB,Pueblo,Pueblo Memorial,P,N,22470,11641,0.9302
336,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,22297,23206,-0.0392
337,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,22066,23124,-0.0458
338,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,21566,20825,0.0356
340,SW,TX,GGG,Longview,East Texas Regional,P,N,21112,21830,-0.0329
341,WP,MP,GRO,Rota Island,Rota International,P,N,20961,21964,-0.0457
342,WP,CA,CIC,Chico,Chico Municipal,P,N,20881,23272,-0.1027
343,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,20353,38363,-0.4695
345,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,19097,18369,0.0396
346,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,P,N,19001,10383,0.83
348,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,18717,14349,0.3044
349,WP,CA,MOD,Modesto,Modesto City County-Harry Sham Field,P,N,18683,23487,-0.2045
350,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,18318,18468,-0.0081
351,SO,MS,MEI,Meridian,Key Field,P,N,18008,16871,0.0674
352,SO,KY,PAH,Paducah,Barkley Regional,P,N,17978,19903,-0.0967
353,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,17731,17856,-0.007
354,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,17574,16404,0.0713
355,SO,KY,OWB,Owensboro,Owensboro-Daviess County,P,N,17296,16193,0.0681
356,EA,WV,LWB,Lewisburg,Greenbrier Valley,P,N,17281,12293,0.4058
358,GL,MI,CVX,Charlevoix,Charlevoix Municipal,P,N,16852,14966,0.126
359,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,16706,19520,-0.1442
360,NE,ME,RKD,Rockland,Knox County Regional,P,N,16680,17657,-0.0553
361,SW,NM,FMN,Farmington,Four Corners Regional,P,N,16322,13389,0.2191
363,AL,AK,ANI,Aniak,Aniak,P,N,16217,16394,-0.0108
364,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,16147,15739,0.0259
365,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,P,N,16095,13766,0.1692
366,NM,OR,LMT,Klamath Falls,Klamath Falls,P,N,15856,21353,-0.2574
367,GL,MN,INL,International Falls,Falls International,P,N,15157,14051,0.0787
368,WP,CA,CEC,Crescent City,Jack McNamara Field,P,N,14887,14341,0.0381
369,NM,UT,PVU,Provo,Provo Municipal,P,N,14858,1124,12.2189
370,GL,SD,PIR,Pierre,Pierre Regional,P,N,14802,14686,0.0079
371,NM,WY,RIW,Riverton,Riverton Regional,P,N,14299,14361,-0.0043
372,NE,ME,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle,P,N,14264,15052,-0.0524
373,GL,MI,MKG,Muskegon,Muskegon County,P,N,14101,13088,0.0774
374,SW,TX,BPT,Beaumont/Port Arthur,Jack Brooks Regional,P,N,13670,17394,-0.2141
375,GL,MI,ESC,Escanaba,Delta County,P,N,13478,9246,0.4577
377,NM,WY,SHR,Sheridan,Sheridan County,P,N,13324,14146,-0.0581
378,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,12615,12749,-0.0105
379,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,P,N,12510,11109,0.1261
380,AL,AK,KSM,St Mary's,St Mary's,P,N,12415,9891,0.2552
381,AL,AK,UNK,Unalakleet,Unalakleet,P,N,12332,12693,-0.0284
382,GL,MI,APN,Alpena,Alpena County Regional,P,N,12320,8737,0.4101
383,GL,MN,HIB,Hibbing,Range Regional,P,N,12272,11227,0.0931
384,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,P,N,12033,10408,0.1561
385,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,12012,10694,0.1232
386,AL,AK,MBA,Manokotak,Manokotak,P,N,11828,12409,-0.0468
387,CE,KS,GCK,Garden City,Garden City Regional,P,N,11690,10155,0.1512
388,AL,AK,WRG,Wrangell,Wrangell,P,N,11674,10882,0.0728
389,CE,IA,MCW,Mason City,Mason City Municipal,P,N,11594,13852,-0.163
390,AL,AK,GST,Gustavus,Gustavus,P,N,11537,9996,0.1542
392,CE,KS,HYS,Hays,Hays Regional,P,N,11397,9026,0.2627
393,GL,MI,IMT,Iron Mountain,Ford,P,N,11324,6943,0.631
394,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,11283,12381,-0.0887
395,GL,MI,MBL,Manistee,Manistee County-Blacker,P,N,11220,3413,2.2874
396,NE,MA,EWB,New Bedford,New Bedford Regional,P,N,11152,12363,-0.098
397,CE,NE,EAR,Kearney,Kearney Regional,P,N,11019,9530,0.1562
399,NM,CO,TEX,Telluride,Telluride Regional,P,N,11017,9677,0.1385
400,NE,MA,PVC,Provincetown,Provincetown Municipal,P,N,10967,11450,-0.0422
401,CE,NE,LBF,North Platte,North Platte Regional Airport Lee Bird Field,P,N,10962,8391,0.3064
403,NE,MA,BED,Bedford,Laurence G Hanscom Field,P,N,10893,7952,0.3698
404,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,P,N,10866,8207,0.324
405,AL,AK,GAL,Galena,Edward G. Pitka Sr,P,N,10862,12421,-0.1255
406,AL,AK,HNH,Hoonah,Hoonah,P,N,10815,10759,0.0052
408,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L. Bill Hart Field,P,N,10674,11249,-0.0511
409,GL,IL,MWA,Marion,Williamson County Regional,P,N,10558,8047,0.312
410,AL,AK,YAK,Yakutat,Yakutat,P,N,10517,10035,0.048
412,NE,RI,BID,Block Island,Block Island State,P,N,10164,9821,0.0349
,,,249,Nonhubs,,, ,,,
,,,387,Total Primary Airports,,, ,,,
