Rank,Locid,RO,ST,City,Airport Name,Svc Lvl,Hub,CY 06 Scheduled Boardings,CY 06 Unscheduled Boardings,CY 06 Total  Boardings
526.0,HLA,AL,AK,Huslia,Huslia,CS,-,3153.0,184.0,3337.0
527.0,NUL,AL,AK,Nulato,Nulato,CS,-,3187.0,148.0,3335.0
529.0,SNP,AL,AK,Saint Paul Island,St Paul Island,CS,-,3108.0,205.0,3313.0
532.0,EEK,AL,AK,Eek,Eek,CS,-,3145.0,96.0,3241.0
535.0,KTS,AL,AK,Brevig Mission,Brevig Mission,CS,-,2952.0,200.0,3152.0
537.0,TOG,AL,AK,Togiak Village,Togiak,CS,-,2132.0,987.0,3119.0
541.0,ATK,AL,AK,Atqasuk,Atqasuk Edward Burnell Sr Memorial,CS,-,2834.0,95.0,2929.0
542.0,SMK,AL,AK,St Michael,St Michael,CS,-,2493.0,434.0,2927.0
545.0,N93,AL,AK,Golovin,Golovin,CS,-,2606.0,262.0,2868.0
547.0,16A,AL,AK,Nunapitchuk,Nunapitchuk,CS,-,2526.0,295.0,2821.0
548.0,WMO,AL,AK,White Mountain,White Mountain,CS,-,2613.0,208.0,2821.0
550.0,T44,AL,AK,Kodiak,Trident Basin,GA,-,0.0,2788.0,2788.0
551.0,KVC,AL,AK,King Cove,King Cove,CS,-,2581.0,202.0,2783.0
552.0,KAE,AL,AK,Kake,Kake,CS,-,2128.0,615.0,2743.0
554.0,RSH,AL,AK,Russian Mission,Russian Mission,CS,-,2135.0,592.0,2727.0
555.0,2A3,AL,AK,Larsen Bay,Larsen Bay,CS,-,2271.0,428.0,2699.0
558.0,SHG,AL,AK,Shungnak,Shungnak,CS,-,2206.0,437.0,2643.0
559.0,MDM,AL,AK,Marshall,Marshall Don Hunter Sr,CS,-,1879.0,757.0,2636.0
560.0,6R7,AL,AK,Old Harbor,Old Harbor,CS,-,1803.0,817.0,2620.0
562.0,KAL,AL,AK,Kaltag,Kaltag,CS,-,2421.0,180.0,2601.0
563.0,TER,AL,AK,Teller,Teller,CS,-,2323.0,225.0,2548.0
565.0,CGA,AL,AK,Craig,Craig,CS,-,2383.0,134.0,2517.0
566.0,DEE,AL,AK,Deering,Deering,CS,-,2155.0,362.0,2517.0
570.0,WBB,AL,AK,Stebbins,Stebbins,GA,-,2130.0,298.0,2428.0
574.0,AFM,AL,AK,Ambler,Ambler,GA,-,1892.0,479.0,2371.0
576.0,RBY,AL,AK,Ruby,Ruby,GA,-,2200.0,140.0,2340.0
577.0,KWT,AL,AK,Kwethluk,Kwethluk,GA,-,1463.0,866.0,2329.0
578.0,MTM,AL,AK,Metlakatla,Metlakatla,GA,-,2247.0,82.0,2329.0
580.0,5Z9,AL,AK,Katmai National Park,Lake Brooks,GA,-,2304.0,0.0,2304.0
585.0,2C7,AL,AK,Shaktoolik,Shaktoolik,GA,-,2009.0,187.0,2196.0
589.0,TLT,AL,AK,Tuluksak,Tuluksak,GA,-,1624.0,544.0,2168.0
590.0,5NN,AL,AK,Nondalton,Nondalton,GA,-,209.0,1953.0,2162.0
591.0,ORI,AL,AK,Port Lions,Port Lions,GA,-,1532.0,630.0,2162.0
594.0,PIZ,AL,AK,Point Lay,Point Lay LRRS,GA,-,2051.0,74.0,2125.0
595.0,EWU,AL,AK,Newtok,Newtok,GA,-,2008.0,95.0,2103.0
597.0,AGN,AL,AK,Angoon,Angoon,GA,-,2060.0,20.0,2080.0
598.0,FBK,AL,AK,Fairbanks/Ft Wainwright,Ladd AAF,GA,-,11.0,2065.0,2076.0
601.0,HCA,AL,AK,Holy Cross,Holy Cross,GA,-,1734.0,308.0,2042.0
604.0,4A2,AL,AK,Atmautluak,Atmautluak,GA,-,1783.0,235.0,2018.0
607.0,6A8,AL,AK,Allakaket,Allakaket,GA,-,1808.0,161.0,1969.0
611.0,IWK,AL,AK,Wales,Wales,GA,-,1696.0,167.0,1863.0
612.0,ADK,AL,AK,Adak (Naval) Station/Mitchell Field,Adak,GA,-,1840.0,19.0,1859.0
616.0,Z13,AL,AK,Akiachak,Akiachak,GA,-,934.0,877.0,1811.0
619.0,VEE,AL,AK,Venetie,Venetie,GA,-,1672.0,116.0,1788.0
622.0,4KA,AL,AK,Tununak,Tununak,GA,-,1686.0,73.0,1759.0
629.0,KQA,AL,AK,Akutan,Akutan,GA,-,1710.0,4.0,1714.0
631.0,4K5,AL,AK,Ouzinkie,Ouzinkie,GA,-,1183.0,512.0,1695.0
635.0,IGT,AL,AK,Nightmute,Nightmute,GA,-,1504.0,138.0,1642.0
637.0,MYU,AL,AK,Mekoryuk,Mekoryuk,GA,-,1610.0,4.0,1614.0
638.0,9K2,AL,AK,Kokhanok,Kokhanok,GA,-,264.0,1346.0,1610.0
639.0,UUO,AL,AK,Willow,Willow,GA,-,0.0,1605.0,1605.0
640.0,BTT,AL,AK,Bettles,Bettles,GA,-,1453.0,116.0,1569.0
642.0,KGX,AL,AK,Grayling,Grayling,GA,-,1354.0,201.0,1555.0
643.0,ARC,AL,AK,Arctic Village,Arctic Village,GA,-,1428.0,119.0,1547.0
650.0,AKI,AL,AK,Akiak,Akiak,GA,-,865.0,618.0,1483.0
651.0,SHX,AL,AK,Shageluk,Shageluk,GA,-,1270.0,191.0,1461.0
652.0,KWF,AL,AK,Waterfall,Waterfall,GA,-,26.0,1418.0,1444.0
654.0,KTB,AL,AK,Thorne Bay,Thorne Bay,GA,-,1367.0,51.0,1418.0
658.0,SXP,AL,AK,Sheldon Point,Sheldon Point,GA,-,1202.0,189.0,1391.0
660.0,OBU,AL,AK,Kobuk,Kobuk,GA,-,1205.0,180.0,1385.0
662.0,KYU,AL,AK,Koyukuk,Koyukuk,GA,-,1181.0,124.0,1305.0
664.0,GBH,AL,AK,Galbraith Lake,Galbraith Lake,GA,-,0.0,1297.0,1297.0
665.0,GNU,AL,AK,Goodnews,Goodnews,GA,-,1151.0,135.0,1286.0
666.0,EII,AL,AK,Egegik,Egegik,GA,-,1179.0,104.0,1283.0
670.0,AKW,AL,AK,Klawock,Klawock,GA,-,394.0,853.0,1247.0
671.0,WNA,AL,AK,Napakiak,Napakiak,GA,-,878.0,368.0,1246.0
677.0,AKK,AL,AK,Akhiok,Akhiok,GA,-,689.0,501.0,1190.0
680.0,AJC,AL,AK,Chignik,Chignik,GA,-,1101.0,44.0,1145.0
682.0,HUS,AL,AK,Hughes,Hughes,GA,-,1007.0,130.0,1137.0
683.0,ANV,AL,AK,Anvik,Anvik,GA,-,969.0,159.0,1128.0
685.0,EIL,AL,AK,Fairbanks,Eielson AFB,GA,-,0.0,1110.0,1110.0
688.0,LKK,AL,AK,Kulik Lake,Kulik Lake,GA,-,1084.0,2.0,1086.0
691.0,PTH,AL,AK,Port Heiden,Port Heiden,GA,-,990.0,83.0,1073.0
693.0,5AK0,AL,AK,Trading Bay,Trading Bay Production,GA,-,0.0,1066.0,1066.0
697.0,PEC,AL,AK,Pelican,Pelican,GA,-,989.0,9.0,998.0
698.0,HYL,AL,AK,Hollis,Hollis,GA,-,918.0,30.0,948.0
701.0,PKA,AL,AK,Napaskiak,Napaskiak,GA,-,504.0,410.0,914.0
702.0,WBQ,AL,AK,Beaver,Beaver,GA,-,807.0,90.0,897.0
704.0,TKE,AL,AK,Tenakee Springs,Tenakee,GA,-,874.0,16.0,890.0
709.0,CJX,AL,AK,Crooked Creek,Crooked Creek,GA,-,613.0,209.0,822.0
711.0,KNW,AL,AK,New Stuyahok,New Stuyahok,GA,-,623.0,193.0,816.0
717.0,IGG,AL,AK,Igiugig,Igiugig,GA,-,232.0,554.0,786.0
718.0,CIK,AL,AK,Chalkyitsik,Chalkyitsik,GA,-,683.0,101.0,784.0
722.0,PPC,AL,AK,Prospect Creek,Prospect Creek,GA,-,1.0,766.0,767.0
726.0,PEV,AL,AK,Perryville,Perryville,GA,-,714.0,27.0,741.0
727.0,PBV,AL,AK,St. George,St George,GA,-,676.0,46.0,722.0
729.0,TKA,AL,AK,Talkeetna,Talkeetna,GA,-,0.0,716.0,716.0
732.0,EAA,AL,AK,Eagle,Eagle,GA,-,651.0,46.0,697.0
733.0,PNP,AL,AK,Pilot Point,Pilot Point,GA,-,650.0,23.0,673.0
737.0,SLQ,AL,AK,Sleetmute,Sleetmute,GA,-,528.0,115.0,643.0
741.0,JZZ,AL,AK,Koliganek,Koliganek,GA,-,424.0,200.0,624.0
742.0,4K0,AL,AK,Pedro Bay,Pedro Bay,GA,-,67.0,542.0,609.0
743.0,KYK,AL,AK,Karluk,Karluk,GA,-,524.0,62.0,586.0
744.0,SVS,AL,AK,Stevens Village,Stevens Village,GA,-,472.0,109.0,581.0
745.0,9Z8,AL,AK,Levelock,Levelock,GA,-,376.0,199.0,575.0
756.0,WSN,AL,AK,South Naknek,South Naknek Nr 2,GA,-,438.0,79.0,517.0
758.0,9A3,AL,AK,Chuathbaluk,Chuathbaluk,GA,-,262.0,248.0,510.0
763.0,KCL,AL,AK,Chignik Flats,Chignik Lagoon,GA,-,468.0,17.0,485.0
766.0,CLP,AL,AK,Clarks Point,Clarks Point,GA,-,412.0,67.0,479.0
767.0,A63,AL,AK,Twin Hills,Twin Hills,GA,-,388.0,76.0,464.0
768.0,FSP,AL,AK,Nikolai,Nikolai,GA,-,163.0,298.0,461.0
774.0,Z41,AL,AK,Anchorage,Lake Hood Strip,GA,-,0.0,453.0,453.0
776.0,1AK3,AL,AK,Cold Bay,Port Moller,GA,-,441.0,5.0,446.0
784.0,A14,AL,AK,Portage Creek,Portage Creek,GA,-,188.0,230.0,418.0
788.0,3AK5,AL,AK,Kenai,Drift River,GA,-,0.0,400.0,400.0
794.0,IYS,AL,AK,Wasilla,Wasilla,GA,-,0.0,384.0,384.0
799.0,PTU,AL,AK,Platinum,Platinum,GA,-,323.0,38.0,361.0
800.0,Z91,AL,AK,Birch Creek,Birch Creek,GA,-,311.0,48.0,359.0
801.0,RDV,AL,AK,Red Devil,Red Devil,GA,-,184.0,170.0,354.0
808.0,SRV,AL,AK,Stony River,Stony River 2,GA,-,245.0,96.0,341.0
811.0,ELV,AL,AK,Elfin Cove,Elfin Cove,GA,-,305.0,21.0,326.0
816.0,KFP,AL,AK,False Pass,False Pass,GA,-,286.0,16.0,302.0
820.0,CRC,AL,AK,Circle,Circle City /New/,GA,-,231.0,63.0,294.0
822.0,AKA,AL,AK,Atka,Atka,GA,-,285.0,0.0,285.0
823.0,CXF,AL,AK,Coldfoot,Coldfoot,GA,-,196.0,89.0,285.0
831.0,D66,AL,AK,Delta Junction,Delta Junction,GA,-,6.0,253.0,259.0
835.0,OUL,AL,AK,Nelson Lagoon,Nelson Lagoon,GA,-,237.0,13.0,250.0
844.0,7KA,AL,AK,Tatitlek,Tatitlek,GA,-,21.0,211.0,232.0
850.0,8AK3,AL,AK,Selawik,Roland Norton Memorial Airstrip,GA,-,179.0,50.0,229.0
854.0,AK40,AL,AK,McGrath,Nixon Fork Mine,GA,-,77.0,147.0,224.0
856.0,RMP,AL,AK,Rampart,Rampart,GA,-,162.0,58.0,220.0
857.0,KEK,AL,AK,Ekwok,Ekwok,GA,-,175.0,42.0,217.0
858.0,PAQ,AL,AK,Palmer,Palmer Municipal,GA,-,32.0,185.0,217.0
866.0,IKO,AL,AK,Nikolski,Nikolski AS,GA,-,206.0,0.0,206.0
876.0,TKJ,AL,AK,Tok,Tok,GA,-,169.0,24.0,193.0
882.0,UGB,AL,AK,Pilot Point,Ugashik Bay,GA,-,169.0,14.0,183.0
886.0,AHP,AL,AK,Port Alexander,Port Alexander,GA,-,1.0,172.0,173.0
889.0,KPC,AL,AK,Port Clarence,Port Clarence CGS,GA,-,161.0,8.0,169.0
894.0,DM2,AL,AK,Diomede,Diomede,GA,-,151.0,12.0,163.0
896.0,MHM,AL,AK,Lake Minchumina,Minchumina,GA,-,72.0,90.0,162.0
901.0,SKW,AL,AK,Skwentna,Skwentna,GA,-,68.0,92.0,160.0
902.0,TCT,AL,AK,Takotna,Takotna,GA,-,28.0,131.0,159.0
909.0,GKN,AL,AK,Gulkana,Gulkana,GA,-,100.0,53.0,153.0
912.0,4Z7,AL,AK,Hyder,Hyder,GA,-,143.0,7.0,150.0
913.0,UTO,AL,AK,Utopia Creek,Indian Mountain LRRS,GA,-,80.0,69.0,149.0
928.0,UMT,AL,AK,Umiat,Umiat,GA,-,1.0,136.0,137.0
935.0,EHM,AL,AK,Cape Newenham,Cape Newenham LRRS,GA,-,104.0,28.0,132.0
939.0,CZF,AL,AK,Cape Romanzof,Cape Romanzof LRRS,GA,-,37.0,91.0,128.0
940.0,TNC,AL,AK,Tin City,Tin City LRRS,GA,-,104.0,24.0,128.0
944.0,DCK,AL,AK,Dahl Creek,Dahl Creek,GA,-,0.0,123.0,123.0
946.0,AK96,AL,AK,Egegik,Bartletts,GA,-,120.0,2.0,122.0
945.0,5NK,AL,AK,Naknek,Naknek,GA,-,11.0,111.0,122.0
951.0,51Z,AL,AK,Minto,Minto,GA,-,71.0,48.0,119.0
963.0,KCC,AL,AK,Coffman Cove,Coffman Cove,GA,-,105.0,5.0,110.0
969.0,LUR,AL,AK,Cape Lisburne,Cape Lisburne LRRS,GA,-,61.0,46.0,107.0
968.0,HRR,AL,AK,Healy,Healy River,GA,-,104.0,3.0,107.0
980.0,84K,AL,AK,Meyers Chuck,Meyers Chuck,GA,-,92.0,9.0,101.0
983.0,ZNC,AL,AK,Nyac,Nyac,GA,-,5.0,95.0,100.0
991.0,TLJ,AL,AK,Takotna,Tatalina LRRS,GA,-,12.0,81.0,93.0
992.0,KXA,AL,AK,Kasaan,Kasaan,GA,-,88.0,4.0,92.0
993.0,WCR,AL,AK,Chandalar Lake,Chandalar Lake,GA,-,30.0,61.0,91.0
994.0,15Z,AL,AK,McCarthy,McCarthy,GA,-,62.0,28.0,90.0
1003.0,C05,AL,AK,Chenega,Chenega Bay,GA,-,50.0,37.0,87.0
1015.0,19P,AL,AK,Port Protection,Port Protection,GA,-,73.0,5.0,78.0
1032.0,TPO,AL,AK,Port Alsworth,Port Alsworth,GA,-,34.0,40.0,74.0
1055.0,78K,AL,AK,Yes Bay,Yes Bay Lodge,GA,-,0.0,66.0,66.0
1069.0,UBW,AL,AK,Kuparuk,Ugnu-Kuparuk,GA,-,0.0,61.0,61.0
1082.0,2AK,AL,AK,Lime Village,Lime Village,GA,-,32.0,23.0,55.0
1091.0,AK75,AL,AK,Candle,Candle 2,GA,-,29.0,23.0,52.0
1092.0,ENN,AL,AK,Nenana,Nenana Municipal,GA,-,0.0,52.0,52.0
1111.0,SMU,AL,AK,Sheep Mountain,Sheep Mountain,GA,-,0.0,50.0,50.0
1113.0,CKX,AL,AK,Chicken,Chicken,GA,-,5.0,44.0,49.0
1120.0,26AK,AL,AK,Cape Sarichef Radio Relay Site,Cape Sarichef,GA,-,12.0,35.0,47.0
1125.0,SYA,AL,AK,Shemya,Eareckson AS,GA,-,0.0,46.0,46.0
1145.0,CZN,AL,AK,Chisana,Chisana,GA,-,42.0,0.0,42.0
1160.0,KKB,AL,AK,Kitoi Bay,Kitoi Bay,GA,-,16.0,24.0,40.0
1164.0,AK15,AL,AK,Deadhorse,Alpine Airstrip,GA,-,0.0,39.0,39.0
1165.0,ALZ,AL,AK,Lazy Bay,Alitak,GA,-,39.0,0.0,39.0
1171.0,SXQ,AL,AK,Soldotna,Soldotna,GA,-,0.0,39.0,39.0
1189.0,96Z,AL,AK,North Whale Pass,North Whale,GA,-,29.0,6.0,35.0
1204.0,MLY,AL,AK,Manley Hot Springs,Manley Hot Springs,GA,-,18.0,15.0,33.0
1209.0,38AK,AL,AK,Wasilla,Mels,GA,-,32.0,0.0,32.0
1221.0,EXI,AL,AK,Excursion Inlet,Excursion Inlet,GA,-,26.0,4.0,30.0
1225.0,KWP,AL,AK,West Point,West Point Village,GA,-,28.0,2.0,30.0
1239.0,CEM,AL,AK,Central,Central,GA,-,18.0,10.0,28.0
1238.0,2AK6,AL,AK,Hogatza,Hog River,GA,-,0.0,28.0,28.0
1258.0,76AK,AL,AK,Delta Junction,Pogo Mine Airstrip,GA,-,0.0,25.0,25.0
1283.0,AK60,AL,AK,Jensens,Fort Jensen,GA,-,15.0,8.0,23.0
1293.0,37AK,AL,AK,Big Mountain Radio Relay Site (U.S. Air Force),Big Mountain,GA,-,0.0,22.0,22.0
1302.0,K29,AL,AK,Council,Council,GA,-,0.0,22.0,22.0
1315.0,FNR,AL,AK,Funter Bay,Funter Bay,GA,-,0.0,20.0,20.0
1318.0,KOY,AL,AK,Olga Bay,Olga Bay,GA,-,20.0,0.0,20.0
1341.0,46AK,AL,AK,Homer,Bear Cove Farm,GA,-,0.0,18.0,18.0
1343.0,AK71,AL,AK,Lonely,Lonely AS,GA,-,0.0,18.0,18.0
1362.0,FWL,AL,AK,Farewell,Farewell,GA,-,0.0,17.0,17.0
1356.0,9A8,AL,AK,Ugashik,Ugashik/New,GA,-,14.0,3.0,17.0
1412.0,KPB,AL,AK,Point Baker,Point Baker,GA,-,15.0,0.0,15.0
1449.0,AK81,AL,AK,Amook Bay,Amook Bay,GA,-,11.0,2.0,13.0
1450.0,CKU,AL,AK,Cordova,Cordova Municipal,GA,-,0.0,13.0,13.0
1510.0,HWI,AL,AK,Hawk Inlet,Hawk Inlet,GA,-,0.0,11.0,11.0
1512.0,KPY,AL,AK,Port Bailey,Port Bailey,GA,-,1.0,10.0,11.0
1536.0,BCV,AL,AK,Birchwood,Birchwood,GA,-,0.0,10.0,10.0
1538.0,BIG,AL,AK,Delta Junction Ft Greely,Allen AAF,GA,-,5.0,5.0,10.0
1549.0,KMY,AL,AK,Moser Bay,Moser Bay,GA,-,10.0,0.0,10.0
1533.0,9AK2,AL,AK,Russian Mission,Kako,GA,-,0.0,10.0,10.0
1543.0,CYT,AL,AK,Yakataga,Yakataga,GA,-,10.0,0.0,10.0
1573.0,BQV,AL,AK,Bartlett Cove,Bartlett Cove,GA,-,1.0,8.0,9.0
1581.0,GSZ,AL,AK,Granite Mountain,Granite Mountain AS,GA,-,0.0,9.0,9.0
1625.0,HYG,AL,AK,Hydaburg,Hydaburg,GA,-,8.0,0.0,8.0
1626.0,KIB,AL,AK,Ivanof Bay,Ivanof Bay,GA,-,8.0,0.0,8.0
1637.0,ORT,AL,AK,Northway,Northway,GA,-,0.0,8.0,8.0
1655.0,5A8,AL,AK,Aleknagik,Aleknagik /New/,GA,-,7.0,0.0,7.0
1659.0,CYM,AL,AK,Chatham,Chatham,GA,-,0.0,7.0,7.0
1684.0,WSJ,AL,AK,San Juan,San Juan /Uganik/,GA,-,7.0,0.0,7.0
1682.0,SWD,AL,AK,Seward,Seward,GA,-,0.0,7.0,7.0
1722.0,MOS,AL,AK,Elim,Moses Point,GA,-,0.0,6.0,6.0
1716.0,KDK,AL,AK,Kodiak,Kodiak Municipal,GA,-,0.0,6.0,6.0
1720.0,MDO,AL,AK,Middleton Island,Middleton Island,GA,-,2.0,4.0,6.0
1731.0,PWR,AL,AK,Port Walter,Port Walter,GA,-,0.0,6.0,6.0
1737.0,SVW,AL,AK,Sparrevohn,Sparrevohn LRRS,GA,-,3.0,3.0,6.0
1797.0,KBE,AL,AK,Bell Island,Bell Island Hot Springs,GA,-,5.0,0.0,5.0
1798.0,KCN,AL,AK,Chernofski Harbor,Chernofski Harbor,GA,-,5.0,0.0,5.0
1755.0,A79,AL,AK,Chignik Lake,Chignik Lake,GA,-,0.0,5.0,5.0
1858.0,CXC,AL,AK,Chitina,Chitina,GA,-,0.0,4.0,4.0
1857.0,CHP,AL,AK,Circle Hot Springs,Circle Hot Springs,GA,-,0.0,4.0,4.0
1884.0,MYK,AL,AK,May Creek,May Creek,GA,-,4.0,0.0,4.0
1951.0,FLT,AL,AK,Flat,Flat,GA,-,0.0,3.0,3.0
2028.0,ANN,AL,AK,Annette,Annette Island,GA,-,0.0,2.0,2.0
2099.0,Z84,AL,AK,Clear,Clear,GA,-,0.0,2.0,2.0
2008.0,4AK1,AL,AK,Deadhorse,Inigok,GA,-,0.0,2.0,2.0
2064.0,L20,AL,AK,Yukon Charley Rivers,Coal Creek,GA,-,2.0,0.0,2.0
2131.0,BGQ,AL,AK,Big Lake,Big Lake,GA,-,0.0,1.0,1.0
