Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub Size,CY 11 Enplanements,CY 10 Enplanements,% Change
1282,GL,MI,RQB,Big Rapids,Roben-Hood,GA,None,6,3,1
1334,GL,MI,Y70,Ionia,Ionia County,GA,None,5,0,0
1345,GL,MI,ARB,Ann Arbor,Ann Arbor Municipal,GA,None,4,11,-0.6364
1338,GL,MI,3GM,Grand Haven,Grand Haven Memorial Airpark,GA,None,4,0,0
1340,GL,MI,4D0,Grand Ledge,Abrams Municipal,GA,None,4,42,-0.9048
1367,GL,MI,MNM,Menominee,Menominee-Marinette Twin County,GA,None,4,26,-0.8462
1377,GL,MI,PZQ,Rogers City,Presque Isle County,GA,None,4,10,-0.6
1414,GL,MI,HTL,Houghton Lake,Roscommon County - Blodgett Memorial,GA,None,3,8,-0.625
1443,GL,MI,Z98,Zeeland,Ottawa Executive,GA,None,3,0,0
1500,GL,MI,OSC,Oscoda,Oscoda-Wurtsmith,GA,None,2,0,0
1503,GL,MI,PHN,Port Huron,St Clair County International,GA,None,2,17,-0.8824
1538,GL,MI,ACB,Bellaire,Antrim County,GA,None,1,0,0
1557,GL,MI,FFX,Fremont,Fremont Municipal,GA,None,1,3,-0.6667
1561,GL,MI,GDW,Gladwin,Gladwin Zettel Memorial,GA,None,1,0,0
1574,GL,MI,JYM,Hillsdale,Hillsdale Municipal,GA,None,1,0,0
1554,GL,MI,ERY,Newberry,Luce County,GA,None,1,0,0
1571,GL,MI,IRS,Sturgis,Kirsch Municipal,GA,None,1,0,0
16,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,15895653,15512487,0.0247
202,GL,MN,DLH,Duluth,Duluth International,P,N,146620,150556,-0.0261
215,GL,MN,RST,Rochester,Rochester International,P,N,110295,120063,-0.0814
328,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,23910,21498,0.1122
354,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,17574,16404,0.0713
367,GL,MN,INL,International Falls,Falls International,P,N,15157,14051,0.0787
383,GL,MN,HIB,Hibbing,Range Regional,P,N,12272,11227,0.0931
566,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,GA,None,2418,2479,-0.0246
825,GL,MN,STC,St. Cloud,St. Cloud Regional,GA,None,165,1198,-0.8623
863,GL,MN,STP,St. Paul,St Paul Downtown Holman Field,GA,None,124,150,-0.1733
952,GL,MN,FCM,Minneapolis,Flying Cloud,GA,None,48,245,-0.8041
1069,GL,MN,ANE,Blaine,Anoka County-Blaine Airport(Janes Field),GA,None,18,87,-0.7931
1204,GL,MN,ONA,Winona,Winona Municipal-Max Conrad Field,GA,None,9,12,-0.25
1214,GL,MN,ELO,Ely,Ely Municipal,GA,None,8,0,0
1216,GL,MN,EVM,Eveleth,Eveleth-Virginia Municipal,GA,None,8,3,1.6667
1227,GL,MN,AEL,Albert Lea,Albert Lea Municipal,GA,None,7,8,-0.125
1233,GL,MN,DTL,Detroit Lakes,Detroit Lakes-Wething Field,GA,None,7,2,2.5
1325,GL,MN,RRT,Warroad,Warroad International Memorial,GA,None,5,0,0
1370,GL,MN,MY52,Coates,Turkey Track,GA,None,4,0,0
1399,GL,MN,BDH,Willmar,Willmar Municipal-John L Rice Field,GA,None,3,5,-0.4
1465,GL,MN,COQ,Cloquet,Cloquet Carlton County,GA,None,2,12,-0.8333
1507,GL,MN,RGK,Red Wing,Red Wing Regional,GA,None,2,2,0
1589,GL,MN,SGS,South St. Paul,South St Paul Municipal-Richard E Fleming Field,GA,None,1,6,-0.8333
31,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,6159090,6044760,0.0189
32,CE,MO,MCI,Kansas City,Kansas City International,P,M,5011000,4946173,0.0131
143,CE,MO,SGF,Springfield,Springfield-Branson National,P,N,349091,381172,-0.0842
222,CE,MO,BBG,Branson,Branson,GA,None,102093,91568,0.1149
286,CE,MO,COU,Columbia,Columbia Regional,P,N,40990,38293,0.0704
318,CE,MO,JLN,Joplin,Joplin Regional,P,N,27379,4078,5.7138
453,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St. Robert Regional Forney Field,CS,None,6978,4159,0.6778
461,CE,MO,CGI,Scott City,Cape Girardeau Regional,CS,None,5940,4862,0.2217
477,CE,MO,IRK,Kirksville,Kirksville Regional,CS,None,5100,2127,1.3977
584,CE,MO,MKC,Kansas City,Charles B. Wheeler Downtown,GA,None,2121,1169,0.8144
625,CE,MO,SUS,Chesterfield,Spirit of St. Louis,GA,None,1504,1570,-0.042
797,CE,MO,SZL,Knob Noster,Whiteman AFB,GA,None,251,330,-0.2394
806,CE,MO,POF,Poplar Bluff,Poplar Bluff Municipal,GA,None,221,23,8.6087
884,CE,MO,STJ,St. Joseph,Rosecrans Memorial,GA,None,105,149,-0.2953
1068,CE,MO,AIZ,Kaiser,Lee C Fine Memorial,GA,None,18,53,-0.6604
1271,CE,MO,JEF,Jefferson City,Jefferson City Memorial,GA,None,6,14,-0.5714
1274,CE,MO,LXT,Lee's Summit,Lee's Summit Municipal,GA,None,6,0,0
1304,CE,MO,DMO,Sedalia,Sedalia Regional,GA,None,5,3,0.6667
1359,CE,MO,HIG,Higginsville,Higginsville Industrial Municipal,GA,None,4,8,-0.5
1383,CE,MO,VIH,Vichy,Rolla National,GA,None,4,7,-0.4286
1439,CE,MO,TKX,Kennett,Kennett Memorial,GA,None,3,0,0
1390,CE,MO,1H0,St. Louis,Creve Coeur,GA,None,3,0,0
1487,CE,MO,M17,Bolivar,Bolivar Municipal,GA,None,2,0,0
1515,CE,MO,VER,Boonville,Jesse Viertel Memorial,GA,None,2,0,0
1481,CE,MO,K15,Osage Beach,Grand Glaize- Osage Beach,GA,None,2,0,0
1480,CE,MO,K02,Perryville,Perryville Municipal,GA,None,2,1,1
1446,CE,MO,3DW,Springfield,Downtown,GA,None,2,0,0
1580,CE,MO,MO8,Brookfield,North Central Missouri Regional,GA,None,1,1,0
137,WP,MP,GSN,Saipan,Francisco C. Ada/Saipan International,P,S,382386,433577,-0.1181
341,WP,MP,GRO,Rota Island,Rota International,P,N,20961,21964,-0.0457
359,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,16706,19520,-0.1442
107,SO,MS,JAN,Jackson,Jackson-Evers International,P,S,615622,618373,-0.0044
132,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,S,395350,461072,-0.1425
283,SO,MS,UTA,Tunica,Tunica Municipal,P,N,41670,65907,-0.3677
304,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,35860,36329,-0.0129
351,SO,MS,MEI,Meridian,Key Field,P,N,18008,16871,0.0674
365,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,P,N,16095,13766,0.1692
378,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,12615,12749,-0.0105
441,SO,MS,GLH,Greenville,Mid Delta Regional,CS,None,7417,6609,0.1223
732,SO,MS,UOX,Oxford,University-Oxford,GA,None,563,8,69.375
896,SO,MS,MPE,Philadelphia,Philadelphia Municipal,GA,None,91,0,0
932,SO,MS,GNF,Grenada,Grenada Municipal,GA,None,60,0,0
944,SO,MS,STF,Starkville,George M Bryan,GA,None,52,0,0
993,SO,MS,HKS,Jackson,Hawkins Field,GA,None,30,15,1
1012,SO,MS,HBG,Hattiesburg,Hattiesburg Bobby L Chain Municipal,GA,None,26,1,25
1239,SO,MS,MS90,Flowood,Flowood Industrial,GA,None,7,10,-0.3
1312,SO,MS,GWO,Carroll (County),Greenwood-Leflore,GA,None,5,7,-0.2857
1319,SO,MS,MBO,Madison,Bruce Campbell Field,GA,None,5,3,0.6667
129,NM,MT,BIL,Billings,Billings Logan International,P,S,407375,388329,0.049
130,NM,MT,BZN,Bozeman,Bozeman Yellowstone International,P,S,397870,364521,0.0915
155,NM,MT,MSO,Missoula,Missoula International,P,N,292501,289875,0.0091
187,NM,MT,GPI,Kalispell,Glacier Park International,P,N,179064,175222,0.0219
194,NM,MT,GTF,Great Falls,Great Falls International,P,N,168158,155204,0.0835
225,NM,MT,HLN,Helena,Helena Regional,P,N,100695,98193,0.0255
324,NM,MT,BTM,Butte,Bert Mooney,P,N,24806,25433,-0.0247
469,NM,MT,SDY,Sidney,Sidney-Richland Municipal,CS,None,5557,3659,0.5187
473,NM,MT,WYS,West Yellowstone,Yellowstone,CS,None,5323,4451,0.1959
602,NM,MT,GGW,Glasgow,Wokal Field/Glasgow International,GA,None,1835,1630,0.1258
627,NM,MT,OLF,Wolf Point,L M Clayton,GA,None,1479,494,1.9939
666,NM,MT,HVR,Havre,Havre City-County,GA,None,1025,961,0.0666
706,NM,MT,GDV,Glendive,Dawson Community,GA,None,703,427,0.6464
723,NM,MT,MLS,Miles City,Frank Wiley Field,GA,None,591,1033,-0.4279
769,NM,MT,LWT,Lewistown,Lewistown Municipal,GA,None,348,704,-0.5057
1031,NM,MT,S59,Libby,Libby,GA,None,24,53,-0.5472
1107,NM,MT,88M,Eureka,Eureka,GA,None,14,1,13
1208,NM,MT,8U4,Spotted Bear,Spotted Bear /USFS/,GA,None,8,4,1
1303,NM,MT,DLN,Dillon,Dillon,GA,None,5,18,-0.7222
1353,NM,MT,CTB,Cut Bank,Cut Bank Municipal,GA,None,4,9,-0.5556
1533,NM,MT,6S5,Hamilton,Ravalli County,GA,None,1,112,-0.9911
11,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,19022535,18629181,0.0211
37,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,4462508,4465736,-0.0007
89,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,894290,855073,0.0459
133,SO,NC,ILM,Wilmington,Wilmington International,P,S,395156,408058,-0.0316
139,SO,NC,AVL,Asheville,Asheville Regional,P,N,361617,371226,-0.0259
164,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,259445,258986,0.0018
191,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,170118,154307,0.1025
209,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,124085,126800,-0.0214
253,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,62071,61899,0.0028
302,SO,NC,NKT,Cherry Point,Cherry Point MCAS /Cunningham Field/,GA,None,36097,31478,0.1467
347,SO,NC,POB,Fayetteville,Pope Field,GA,None,18747,12744,0.471
402,SO,NC,JQF,Concord,Concord Regional,GA,None,10961,9358,0.1713
455,SO,NC,ISO,Kinston,Kinston Regional Jetport at Stallings Field,CS,None,6313,5228,0.2075
658,SO,NC,GSB,Goldsboro,Seymour Johnson AFB,GA,None,1144,692,0.6532
677,SO,NC,RWI,Rocky Mount,Rocky Mount-Wilson Regional,GA,None,969,1,968
746,SO,NC,INT,Winston-Salem,Smith Reynolds,GA,None,474,1558,-0.6958
1044,SO,NC,PMZ,Plymouth,Plymouth Municipal,GA,None,21,0,0
1092,SO,NC,SOP,Pinehurst/Southern Pines,Moore County,GA,None,16,47,-0.6596
1156,SO,NC,EHO,Shelby,Shelby-Cleveland County Regional,GA,None,11,0,0
1221,SO,NC,MQI,Manteo,Dare County Regional,GA,None,8,34,-0.7647
1275,SO,NC,MRH,Beaufort,Michael J. Smith Field,GA,None,6,4,0.5
1267,SO,NC,EDE,Edenton,Northeastern Regional,GA,None,6,0,0
1268,SO,NC,HNZ,Oxford,Henderson-Oxford,GA,None,6,1,5
1324,SO,NC,RHP,Andrews,Western Carolina Regional,GA,None,5,2,1.5
1297,SO,NC,BUY,Burlington,Burlington-Alamance Regional,GA,None,5,10,-0.5
1356,SO,NC,FFA,Kill Devil Hills,First Flight,GA,None,4,4,0
1420,SO,NC,MEB,Maxton,Laurinburg-Maxton,GA,None,3,0,0
1499,SO,NC,ONX,Currituck,Currituck County Regional,GA,None,2,20,-0.9
1476,SO,NC,GWW,Goldsboro,Wayne Executive Jetport,GA,None,2,0,0
1472,SO,NC,EXX,Lexington,Davidson County,GA,None,2,0,0
1506,SO,NC,RCZ,Rockingham,Richmond County,GA,None,2,0,0
144,GL,ND,FAR,Fargo,Hector International,P,N,346459,365963,-0.0533
179,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,197181,196285,0.0046
197,GL,ND,MOT,Minot,Minot International,P,N,151424,91120,0.6618
211,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,118872,117980,0.0076
314,GL,ND,ISN,Williston,Sloulin Field International,P,N,28202,16473,0.712
346,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,P,N,19001,10383,0.83
467,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,None,5599,5242,0.0681
472,GL,ND,JMS,Jamestown,Jamestown Regional,CS,None,5355,4434,0.2077
729,GL,ND,MIB,Minot,Minot AFB,GA,None,576,893,-0.355
782,GL,ND,9G9,Gackle,Gackle Municipal,GA,None,300,0,0
1288,GL,ND,06D,Rolla,Rolla Municipal,GA,None,5,0,0
1405,GL,ND,D60,Tioga,Tioga Municipal,GA,None,3,0,0
62,CE,NE,OMA,Omaha,Eppley Airfield,P,M,2047055,2097958,-0.0243
207,CE,NE,LNK,Lincoln,Lincoln,P,N,135647,143230,-0.0529
272,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,47167,37101,0.2713
391,CE,NE,AUH,Aurora,Aurora Municipal - Al Potter Field,GA,None,11500,81,140.9753
397,CE,NE,EAR,Kearney,Kearney Regional,P,N,11019,9530,0.1562
401,CE,NE,LBF,North Platte,North Platte Regional Airport Lee Bird Field,P,N,10962,8391,0.3064
413,CE,NE,BFF,Scottsbluff,Western Nebraska Regional/William B. Heilig Field,CS,None,9912,9864,0.0049
593,CE,NE,CDR,Chadron,Chadron Municipal,GA,None,1980,1769,0.1193
605,CE,NE,MCK,McCook,McCook Ben Nelson Regional,GA,None,1810,1993,-0.0918
612,CE,NE,AIA,Alliance,Alliance Municipal,GA,None,1730,1416,0.2218
644,CE,NE,OFF,Omaha,Offutt AFB,GA,None,1275,1234,0.0332
1181,CE,NE,IML,Imperial,Imperial Municipal,GA,None,10,4,1.5
1294,CE,NE,BIE,Beatrice,Beatrice Municipal,GA,None,5,0,0
1411,CE,NE,FET,Fremont,Fremont Municipal,GA,None,3,0,0
1458,CE,NE,AFK,Nebraska City,Nebraska City Municipal,GA,None,2,10,-0.8
1518,CE,NE,VTN,Valentine,Miller Field,GA,None,2,0,0
77,NE,NH,MHT,Manchester,Manchester,P,S,1342308,1391797,-0.0356
421,NE,NH,LEB,Lebanon,Lebanon Municipal,CS,None,9106,7832,0.1627
591,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,GA,None,2012,10257,-0.8038
800,NE,NH,CON,Concord,Concord Municipal,GA,None,247,115,1.1478
897,NE,NH,NH33,Pembroke,Brigham,GA,None,90,0,0
941,NE,NH,LCI,Laconia,Laconia Municipal,GA,None,54,200,-0.73
1137,NE,NH,ASH,Nashua,Boire Field,GA,None,12,39,-0.6923
1155,NE,NH,EEN,Keene,Dillant-Hopkins,GA,None,11,18,-0.3889
1466,NE,NH,DAW,Rochester,Skyhaven,GA,None,2,0,0
1542,NE,NH,BML,Berlin,Berlin Regional,GA,None,1,0,0
14,EA,NJ,EWR,Newark,Newark Liberty International,P,L,16814092,16571754,0.0146
103,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,668930,669470,-0.0008
407,EA,NJ,WRI,Wrightstown,McGuire Field (Joint Base McGuire Dix Lakehurst),GA,None,10711,9851,0.0873
478,EA,NJ,TEB,Teterboro,Teterboro,GA,None,5071,6725,-0.2459
486,EA,NJ,MMU,Morristown,Morristown Municipal,CS,None,4563,729,5.2593
521,EA,NJ,TTN,Trenton,Trenton Mercer,CS,None,3414,853,3.0023
901,EA,NJ,BLM,Belmar,Monmouth Executive,GA,None,84,68,0.2353
1060,EA,NJ,MIV,Millville,Millville Municipal,GA,None,19,6,2.1667
1097,EA,NJ,CDW,Caldwell,Essex County,GA,None,15,14,0.0714
1135,EA,NJ,WWD,Wildwood,Cape May County,GA,None,13,13,0
1169,EA,NJ,19N,Berlin,Camden County,GA,None,10,1,9
1194,EA,NJ,39N,Rocky Hill,Princeton,GA,None,9,6,0.5
1329,EA,NJ,SMQ,Bedminster,Somerset,GA,None,5,9,-0.4444
1365,EA,NJ,MJX,Toms River,Robert J. Miller Air Park,GA,None,4,0,0
1392,EA,NJ,3N6,Old Bridge,Old Bridge,GA,None,3,0,0
1483,EA,NJ,LDJ,Linden,Linden,GA,None,2,8,-0.75
1524,EA,NJ,26N,Ocean City,Ocean City Municipal,GA,None,1,2,-0.5
55,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2768435,2828420,-0.0212
282,SW,NM,SAF,Santa Fe,Santa Fe Municipal,P,N,43329,43807,-0.0109
295,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,37262,38850,-0.0409
361,SW,NM,FMN,Farmington,Four Corners Regional,P,N,16322,13389,0.2191
443,SW,NM,HOB,Hobbs,Lea County Regional,CS,None,7346,334,20.994
554,SW,NM,CNM,Carlsbad,Cavern City Air Terminal,CS,None,2707,2606,0.0388
590,SW,NM,CVN,Clovis,Clovis Municipal,GA,None,2033,2165,-0.061
619,SW,NM,SVC,Silver City,Grant County,GA,None,1609,1501,0.072
682,SW,NM,CVS,Clovis,Cannon AFB,GA,None,918,343,1.6764
756,SW,NM,ALM,Alamogordo,Alamogordo-White Sands Regional,GA,None,390,369,0.0569
832,SW,NM,HMN,Alamogordo,Holloman AFB,GA,None,158,468,-0.6624
865,SW,NM,LRU,Las Cruces,Las Cruces International,GA,None,122,227,-0.4626
945,SW,NM,1V0,Navajo Dam,Navajo Lake,GA,None,51,0,0
1279,SW,NM,NM37,Truth or Consequences,Adobe Ranch Private,GA,None,6,0,0
1289,SW,NM,0,Moriarty,Moriarty,GA,None,5,2,1.5
1328,SW,NM,SKX,Taos,Taos Regional,GA,None,5,2,1.5
1469,SW,NM,E26,Jal,Lea County/Jal/,GA,None,2,0,0
1594,SW,NM,TCS,Truth or Consequences,Truth Or Consequences Municipal,GA,None,1,200,-0.995
8,WP,NV,LAS,Las Vegas,McCarran International,P,L,19872617,18996738,0.0461
64,WP,NV,RNO,Reno,Reno/Tahoe International,P,M,1821051,1857488,-0.0196
180,WP,NV,BVU,Boulder City,Boulder City Municipal,P,N,190716,169923,0.1224
264,WP,NV,VGT,Las Vegas,North Las Vegas,GA,None,55161,64674,-0.1471
329,WP,NV,EKO,Elko,Elko Regional,P,N,23543,21863,0.0768
357,WP,NV,HND,Las Vegas,Henderson Executive,GA,None,16946,13272,0.2768
515,WP,NV,LSV,Las Vegas,Nellis AFB,GA,None,3528,2726,0.2942
725,WP,NV,ELY,Ely,Ely /Yelland Field/,GA,None,589,245,1.4041
788,WP,NV,CXP,Carson City,Carson,GA,None,276,0,0
867,WP,NV,WMC,Winnemucca,Winnemucca Municipal,GA,None,121,24,4.0417
872,WP,NV,BAM,Battle Mountain,Battle Mountain,GA,None,118,0,0
1021,WP,NV,TPH,Tonopah,Tonopah,GA,None,25,1,24
1072,WP,NV,HTH,Hawthorne,Hawthorne Industrial,GA,None,18,0,0
1081,WP,NV,FLX,Fallon,Fallon Municipal,GA,None,17,0,0
1136,WP,NV,67L,Mesquite,Mesquite,GA,None,12,22,-0.4545
1184,WP,NV,NV83,Round Mountain,Hadley,GA,None,10,0,0
1444,WP,NV,1L1,Panaca,Lincoln County,GA,None,2,0,0
1523,WP,NV,1L4,Cal Nev Ari,Kidwell,GA,None,1,4,-0.75
6,EA,NY,JFK,New York,John F Kennedy International,P,L,23664832,22934047,0.0319
20,EA,NY,LGA,New York,La Guardia,P,L,11989227,12001501,-0.001
58,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,2582597,2602968,-0.0078
81,EA,NY,ALB,Albany,Albany International,P,S,1216626,1250282,-0.0269
83,EA,NY,ROC,Rochester,Greater Rochester International,P,S,1190967,1263965,-0.0578
86,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,982709,1024505,-0.0408
87,EA,NY,HPN,White Plains,Westchester County,P,S,972385,999831,-0.0275
97,EA,NY,ISP,Islip,Long Island MacArthur,P,S,781396,858741,-0.0901
177,EA,NY,SWF,Newburgh,Stewart International,P,N,209966,201684,0.0411
195,EA,NY,ELM,Elmira,Elmira/Corning Regional,P,N,152582,131358,0.1616
204,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,139698,94808,0.4735
210,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,121733,121390,0.0028
216,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,108172,108988,-0.0075
227,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,98982,23849,3.1504
428,EA,NY,FRG,North Babylon,Republic,CS,None,8638,2783,2.1038
447,EA,NY,GTB,Fort Drum,Wheeler-Sack AAF,GA,None,7061,13981,-0.495
463,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,None,5770,5762,0.0014
492,EA,NY,ART,Watertown,Watertown International,CS,None,4449,2203,1.0195
494,EA,NY,MSS,Massena,Massena International-Richards Field,CS,None,4396,3350,0.3122
511,EA,NY,OGS,Ogdensburg,Ogdensburg International,CS,None,3589,2329,0.541
517,EA,NY,JHW,Jamestown,Chautauqua County/Jamestown,CS,None,3483,3679,-0.0533
638,EA,NY,RME,Rome,Griffiss International,GA,None,1332,1082,0.2311
794,EA,NY,6N5,New York,East 34th Street,GA,None,256,241,0.0622
795,EA,NY,HTO,East Hampton,East Hampton,GA,None,255,353,-0.2776
891,EA,NY,FOK,Westhampton Beach,Francis S Gabreski,GA,None,95,147,-0.3537
907,EA,NY,JRA,New York,West 30th St.,GA,None,76,82,-0.0732
953,EA,NY,0B8,Fishers Island,Elizabeth Field,GA,None,46,66,-0.303
986,EA,NY,5B2,Saratoga Springs,Saratoga County,GA,None,31,35,-0.1143
1082,EA,NY,MSV,Monticello,Sullivan County International,GA,None,17,22,-0.2273
1094,EA,NY,1B1,Hudson,Columbia County,GA,None,15,15,0
1100,EA,NY,MTP,Montauk,Montauk,GA,None,15,22,-0.3182
1121,EA,NY,0G7,Seneca Falls,Finger Lakes Regional,GA,None,13,2,5.5
1145,EA,NY,POU,Poughkeepsie,Dutchess County,GA,None,12,29,-0.5862
1146,EA,NY,SCH,Schenectady,Schenectady County,GA,None,12,26,-0.5385
1207,EA,NY,87N,Southampton,Southampton,GA,None,8,13,-0.3846
1241,EA,NY,PTD,Potsdam,Potsdam Municipal/Damon Field/,GA,None,7,18,-0.6111
1272,EA,NY,LKP,Lake Placid,Lake Placid,GA,None,6,21,-0.7143
1278,EA,NY,N66,Oneonta,Oneonta Municipal,GA,None,6,25,-0.76
1302,EA,NY,D38,Canandaigua,Canandaigua,GA,None,5,16,-0.6875
1322,EA,NY,PEO,Penn Yan,Penn Yan,GA,None,5,262,-0.9809
1358,EA,NY,GFL,Glens Falls,Floyd Bennett Memorial,GA,None,4,46,-0.913
1373,EA,NY,NY0,Johnstown,Fulton County,GA,None,4,0,0
1342,EA,NY,6B9,Skaneateles,Skaneateles Aero Drome,GA,None,4,1,3
1475,EA,NY,FZY,Fulton,Oswego County,GA,None,2,1,1
1516,EA,NY,VGC,Hamilton,Hamilton Municipal,GA,None,2,11,-0.8182
1496,EA,NY,N23,Sidney,Sidney Municipal,GA,None,2,0,0
1553,EA,NY,ELZ,Wellsville,"Wellsville Municipal Airport,Tarantine Field",GA,None,1,42,-0.9762
39,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,4401033,4591097,-0.0414
52,GL,OH,CMH,Columbus,Port Columbus International,P,M,3134379,3145962,-0.0037
80,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,1247333,1248787,-0.0012
95,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,814243,771107,0.0559
237,GL,OH,TOL,Toledo,Toledo Express,P,N,81127,88578,-0.0841
297,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,P,N,37048,27717,0.3367
416,GL,OH,LUK,Cincinnati,Cincinnati Municipal Airport Lunken Field,GA,None,9308,1008,8.2341
438,GL,OH,LCK,Columbus,Rickenbacker International,CS,None,7597,4445,0.7091
449,GL,OH,PCW,Port Clinton,Carl R Keller Field,GA,None,7024,0,0
495,GL,OH,3W2,Put-in-Bay,Put-in-Bay,GA,None,4348,0,0
636,GL,OH,BKL,Cleveland,Burke Lakefront,GA,None,1357,1713,-0.2078
784,GL,OH,ZZV,Zanesville,Zanesville Municipal,GA,None,294,0,0
809,GL,OH,FFO,Dayton,Wright-Patterson AFB,GA,None,195,164,0.189
956,GL,OH,OSU,Columbus,Ohio State University,GA,None,44,93,-0.5269
1005,GL,OH,38D,Salem,Salem Airpark Inc,GA,None,27,29,-0.069
1020,GL,OH,MFD,Mansfield,Mansfield Lahm Regional,GA,None,25,392,-0.9362
1148,GL,OH,TDZ,Walbridge,Toledo Executive,GA,None,12,44,-0.7273
1179,GL,OH,HAO,Hamilton,Butler County Regional,GA,None,10,17,-0.4118
1205,GL,OH,SGH,Springfield,Springfield-Beckley Municipal,GA,None,9,109,-0.9174
1228,GL,OH,AXV,Wapakoneta,Neil Armstrong,GA,None,7,0,0
1264,GL,OH,DLZ,Delaware,Delaware Municipal - Jim Moore Field,GA,None,6,24,-0.75
1331,GL,OH,UNI,Athens,Ohio University Snyder Field,GA,None,5,4,0.25
1299,GL,OH,CGF,Cleveland,Cuyahoga County,GA,None,5,46,-0.8913
1308,GL,OH,FDY,Findlay,Findlay,GA,None,5,7,-0.2857
1327,GL,OH,S24,Fremont,Sandusky County Regional,GA,None,5,0,0
1360,GL,OH,HZY,Ashtabula,Ashtabula County,GA,None,4,0,0
1442,GL,OH,UYF,London,Madison County,GA,None,3,0,0
1423,GL,OH,MRT,Marysville,Union County,GA,None,3,0,0
1430,GL,OH,OXD,Oxford,Miami University,GA,None,3,7,-0.5714
1460,GL,OH,AKR,Akron,Akron Fulton International,GA,None,2,7,-0.7143
1508,GL,OH,RZT,Chillicothe,Ross County,GA,None,2,0,0
1512,GL,OH,SKY,Sandusky,Griffing Sandusky,GA,None,2,4,-0.5
1535,GL,OH,7G8,Middlefield,Geauga County,GA,None,1,3,-0.6667
1582,GL,OH,MWO,Middletown,Middletown Regional/Hook Field,GA,None,1,0,0
66,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,1738438,1710993,0.016
76,SW,OK,TUL,Tulsa,Tulsa International,P,S,1346122,1382895,-0.0266
250,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,63909,68054,-0.0609
565,SW,OK,SWO,Stillwater,Stillwater Regional,GA,None,2441,1964,0.2429
646,SW,OK,TIK,Oklahoma City,Tinker AFB,GA,None,1242,1406,-0.1166
722,SW,OK,1F0,Ardmore,Ardmore Downtown Executive,GA,None,592,0,0
736,SW,OK,HHW,Hugo,Stan Stamper Municipal,GA,None,543,0,0
770,SW,OK,HSD,Oklahoma City,Sundance Airpark,GA,None,342,0,0
803,SW,OK,CSM,Burns Flat,Clinton-Sherman,GA,None,236,68,2.4706
815,SW,OK,OUN,Norman,University of Oklahoma Westheimer,GA,None,181,20,8.05
876,SW,OK,PWA,Oklahoma City,Wiley Post,GA,None,114,126,-0.0952
931,SW,OK,ADM,Ardmore,Ardmore Municipal,GA,None,60,0,0
960,SW,OK,GUY,Guymon,Guymon Municipal,GA,None,42,35,0.2
973,SW,OK,WWR,Woodward,West Woodward,GA,None,36,0,0
1186,SW,OK,RVS,Tulsa,Richard Lloyd Jones Jr,GA,None,10,14,-0.2857
1385,SW,OK,WDG,Enid,Enid Woodring Regional,GA,None,4,3,0.3333
1409,SW,OK,ELK,Elk City,Elk City Regional Business,GA,None,3,0,0
1527,SW,OK,4O4,Idabel,McCurtain County Regional,GA,None,1,0,0
